id,__label__pol_Latn,link,text_lang,video_lang,Unnamed: 6
oKQYg-Mb-j0,0.2021571397781372,https://youtube.com/watch?v=oKQYg-Mb-j0,0.0,0.0,
eKvJa--8tuA,0.2004808485507965,https://youtube.com/watch?v=eKvJa--8tuA,0.0,0.0,
EtwaH-nhWV0,0.2013696134090423,https://youtube.com/watch?v=EtwaH-nhWV0,0.0,0.0,
joAgO-OTiAI,0.1948461979627609,https://youtube.com/watch?v=joAgO-OTiAI,0.0,0.0,
WRhyr-_lYUw,0.1915668398141861,https://youtube.com/watch?v=WRhyr-_lYUw,0.0,0.0,
rkVVt-GRgcs,0.2039818465709686,https://youtube.com/watch?v=rkVVt-GRgcs,0.0,0.0,
zNoQO-C1otI,0.2026413232088089,https://youtube.com/watch?v=zNoQO-C1otI,0.0,0.0,
YgwOE-fmWBA,0.1973667442798614,https://youtube.com/watch?v=YgwOE-fmWBA,0.0,0.0,
WKxwi-di258,0.1043107584118843,https://youtube.com/watch?v=WKxwi-di258,0.0,0.0,
xuDmT-kLSXE,0.0982623696327209,https://youtube.com/watch?v=xuDmT-kLSXE,0.0,0.0,
qvUEo-X-trY,0.0932107791304588,https://youtube.com/watch?v=qvUEo-X-trY,0.0,0.0,
Chaql-5Qv2g,0.1041746661067009,https://youtube.com/watch?v=Chaql-5Qv2g,0.0,0.0,
UkzjD-9bHc8,0.0922592058777809,https://youtube.com/watch?v=UkzjD-9bHc8,0.0,0.0,
zEaYg-a_ZgA,0.10779420286417,https://youtube.com/watch?v=zEaYg-a_ZgA,0.0,0.0,
LSDrn-KYUhQ,0.0974529013037681,https://youtube.com/watch?v=LSDrn-KYUhQ,0.0,0.0,
TBEZe-8VFOM,0.1072432100772857,https://youtube.com/watch?v=TBEZe-8VFOM,0.0,0.0,
nQgTo-ypuCI,0.0942254588007927,https://youtube.com/watch?v=nQgTo-ypuCI,0.0,,video not available anymore
HMyTG-zYnEM,0.1040779948234558,https://youtube.com/watch?v=HMyTG-zYnEM,0.0,0.0,
CwWFO-sJwl0,0.0442448407411575,https://youtube.com/watch?v=CwWFO-sJwl0,0.0,0.0,
IMMHH-xCm2Q,0.0554307214915752,https://youtube.com/watch?v=IMMHH-xCm2Q,0.0,0.0,
PvaCl-KEn8M,0.0544949881732463,https://youtube.com/watch?v=PvaCl-KEn8M,0.0,0.0,
ukqnt-4HAtQ,0.0488000325858593,https://youtube.com/watch?v=ukqnt-4HAtQ,0.0,0.0,
ccnKO-QhMTY,0.0518188662827014,https://youtube.com/watch?v=ccnKO-QhMTY,0.0,0.0,
uyLQE-3pAmw,0.0424115695059299,https://youtube.com/watch?v=uyLQE-3pAmw,0.0,0.0,
LpgDP-re0Ng,0.0425009988248348,https://youtube.com/watch?v=LpgDP-re0Ng,0.0,0.0,
WiPYO-UrSa4,0.0474646389484405,https://youtube.com/watch?v=WiPYO-UrSa4,0.0,0.0,
Akezg-NNeHE,0.0403846018016338,https://youtube.com/watch?v=Akezg-NNeHE,0.0,0.0,
AoZDe-9WvmE,0.04617490619421,https://youtube.com/watch?v=AoZDe-9WvmE,0.0,0.0,
FAgab-AIpQM,0.0009211736614815,https://youtube.com/watch?v=FAgab-AIpQM,0.0,0.0,
ejGLS-15s24,7.062432268867269e-05,https://youtube.com/watch?v=ejGLS-15s24,0.0,,video not available anymore
fMhMe-TaF1A,1.0000041584135031e-05,https://youtube.com/watch?v=fMhMe-TaF1A,0.0,0.0,
RkCDp-SCqnw,1.004269506665878e-05,https://youtube.com/watch?v=RkCDp-SCqnw,0.0,0.0,
VEwoT-RZ9Z8,0.0031545010861009,https://youtube.com/watch?v=VEwoT-RZ9Z8,0.0,0.0,
JwvuB-gDnuA,1.178644561150577e-05,https://youtube.com/watch?v=JwvuB-gDnuA,0.0,0.0,
VcXxf-HeAxQ,1.1074083886342125e-05,https://youtube.com/watch?v=VcXxf-HeAxQ,0.0,,video not available anymore
UolKZ-CE2Qc,0.0008458329830318,https://youtube.com/watch?v=UolKZ-CE2Qc,0.0,0.0,
wgXNM-5d0Qc,1.0022878996096551e-05,https://youtube.com/watch?v=wgXNM-5d0Qc,0.0,0.0,
TvVQC-8PrGo,0.0084074707701802,https://youtube.com/watch?v=TvVQC-8PrGo,0.0,0.0,
