id,text_lang,link,video_lang,__label__hun_Latn
XkXrH-JhYXY,0.0,https://youtube.com/watch?v=XkXrH-JhYXY,0,0.892335295677185
QNypv-0-PUU,0.0,https://youtube.com/watch?v=QNypv-0-PUU,0,0.895544528961182
wDbAa-iv4gY,0.0,https://youtube.com/watch?v=wDbAa-iv4gY,0,0.903604030609131
rgLyI-aUUCE,0.0,https://youtube.com/watch?v=rgLyI-aUUCE,0,0.901029706001282
iYYjZ-WqeJA,0.0,https://youtube.com/watch?v=iYYjZ-WqeJA,0,0.904946148395538
sWKTx-6Drb0,1.0,https://youtube.com/watch?v=sWKTx-6Drb0,0,0.898057639598846
UsFdF-2a5wc,1.0,https://youtube.com/watch?v=UsFdF-2a5wc,1,0.902028620243073
kbxUI-nQ4g4,0.0,https://youtube.com/watch?v=kbxUI-nQ4g4,0,0.904260516166687
eCDgu-TdSbg,0.0,https://youtube.com/watch?v=eCDgu-TdSbg,0,0.808463990688324
KLViA-6jf7k,1.0,https://youtube.com/watch?v=KLViA-6jf7k,1,0.798652708530426
wHCxq-es3UI,0.0,https://youtube.com/watch?v=wHCxq-es3UI,0,0.8070228099823
hRhcn-AZAJY,0.0,https://youtube.com/watch?v=hRhcn-AZAJY,0,0.790731072425842
GVGbP-SMczE,0.0,https://youtube.com/watch?v=GVGbP-SMczE,0,0.802363932132721
kASei-oi73I,0.0,https://youtube.com/watch?v=kASei-oi73I,0,0.8029003739357
INsqv-CnApM,0.0,https://youtube.com/watch?v=INsqv-CnApM,0,0.803556680679321
pZlek-7cNJw,0.0,https://youtube.com/watch?v=pZlek-7cNJw,0,0.700890898704529
WaVTJ-O30mY,0.0,https://youtube.com/watch?v=WaVTJ-O30mY,0,0.697815239429474
TRBdz-wpkOI,0.0,https://youtube.com/watch?v=TRBdz-wpkOI,0,0.697715997695923
yvdXR-h5ed0,0.0,https://youtube.com/watch?v=yvdXR-h5ed0,0,0.70160049200058
dJJku-4RZMI,1.0,https://youtube.com/watch?v=dJJku-4RZMI,1,0.70660674571991
GnIFY-IRMuE,0.0,https://youtube.com/watch?v=GnIFY-IRMuE,0,0.694900393486023
FyTnc-gT97I,0.0,https://youtube.com/watch?v=FyTnc-gT97I,0,0.691258668899536
vMyEa-3Hv9A,0.0,https://youtube.com/watch?v=vMyEa-3Hv9A,0,0.704527914524078
bnIuW-9UNeg,0.0,https://youtube.com/watch?v=bnIuW-9UNeg,0,0.603906631469727
ksnfz-1OQeE,0.0,https://youtube.com/watch?v=ksnfz-1OQeE,0,0.604039669036865
ahlsm-wHT04,0.0,https://youtube.com/watch?v=ahlsm-wHT04,0,0.609886944293976
gdyfO-ROVBA,0.0,https://youtube.com/watch?v=gdyfO-ROVBA,0,0.596541166305542
kmjhK-pEX8A,0.0,https://youtube.com/watch?v=kmjhK-pEX8A,0,0.600306272506714
MjoBE-QlQWA,0.5,https://youtube.com/watch?v=MjoBE-QlQWA,1,0.597717940807343
igATV-J8p0c,0.0,https://youtube.com/watch?v=igATV-J8p0c,0,0.605141758918762
XOmcf--SVRQ,0.0,https://youtube.com/watch?v=XOmcf--SVRQ,0,0.609161078929901
RBbXy-qkNC4,0.0,https://youtube.com/watch?v=RBbXy-qkNC4,0,0.591162323951721
OcKAH-q6QpU,0.0,https://youtube.com/watch?v=OcKAH-q6QpU,0,0.59333735704422
BshYm-nLEQo,0.0,https://youtube.com/watch?v=BshYm-nLEQo,0,0.492187857627869
iZfgO-WTjTc,1.0,https://youtube.com/watch?v=iZfgO-WTjTc,0,0.496772468090057
Nafrh-CsCl0,0.0,https://youtube.com/watch?v=Nafrh-CsCl0,0,0.505819022655487
jwWbB-7e3t8,0.0,https://youtube.com/watch?v=jwWbB-7e3t8,0,0.500036478042603
coTry-SpkQc,0.0,https://youtube.com/watch?v=coTry-SpkQc,0,0.493684619665146
QrqGT-5Ikf4,0.0,https://youtube.com/watch?v=QrqGT-5Ikf4,0,0.502451241016388
jZIZq-4bkGI,0.0,https://youtube.com/watch?v=jZIZq-4bkGI,0,0.505938410758972
jRbmj-aGP28,0.0,https://youtube.com/watch?v=jRbmj-aGP28,0,0.499304473400116
ukYcb-nVvcY,0.0,https://youtube.com/watch?v=ukYcb-nVvcY,0,0.498294234275818
bDCUP-nmA6I,1.0,https://youtube.com/watch?v=bDCUP-nmA6I,1,0.492713451385498
MeFjn-5RGm0,0.0,https://youtube.com/watch?v=MeFjn-5RGm0,0,0.40228471159935
OcdlS-QV7RE,0.0,https://youtube.com/watch?v=OcdlS-QV7RE,0,0.399970889091492
OMFAI-PisJI,0.0,https://youtube.com/watch?v=OMFAI-PisJI,0,0.400394111871719
GEyhX-HpPVM,0.0,https://youtube.com/watch?v=GEyhX-HpPVM,0,0.406002700328827
CJriI-Jrt4A,0.0,https://youtube.com/watch?v=CJriI-Jrt4A,0,0.398983716964722
ynjoW-Q8QPw,0.0,https://youtube.com/watch?v=ynjoW-Q8QPw,0,0.403483599424362
OkTAz-xzBL4,0.0,https://youtube.com/watch?v=OkTAz-xzBL4,0,0.401788622140884
HUMWs-hIxug,0.0,https://youtube.com/watch?v=HUMWs-hIxug,0,0.394980907440186
oepyZ-4k5GA,0.0,https://youtube.com/watch?v=oepyZ-4k5GA,0,0.40362474322319
aiwfn-jFPBQ,0.0,https://youtube.com/watch?v=aiwfn-jFPBQ,0,0.401543349027634
XHxJh-M_9tQ,0.0,https://youtube.com/watch?v=XHxJh-M_9tQ,0,0.307909816503525
NreiZ-9UJ4M,0.0,https://youtube.com/watch?v=NreiZ-9UJ4M,0,0.305836588144302
EPLRG-Ce644,0.0,https://youtube.com/watch?v=EPLRG-Ce644,0,0.292526006698608
ZYHed-cd088,0.0,https://youtube.com/watch?v=ZYHed-cd088,0,0.307196259498596
lqItU-ACGSM,0.0,https://youtube.com/watch?v=lqItU-ACGSM,0,0.303953170776367
PPwoS-8Z0CE,0.0,https://youtube.com/watch?v=PPwoS-8Z0CE,0,0.304630666971207
OeHgh-ZGERQ,0.0,https://youtube.com/watch?v=OeHgh-ZGERQ,0,0.296129882335663
ZxCaX-J3p5Q,0.0,https://youtube.com/watch?v=ZxCaX-J3p5Q,0,0.308078974485397
JzkRV-EWFhU,0.0,https://youtube.com/watch?v=JzkRV-EWFhU,0,0.298969656229019
KAKlm-5S4O8,0.0,https://youtube.com/watch?v=KAKlm-5S4O8,0,0.298254609107971
zfKrA-BIdDo,0.0,https://youtube.com/watch?v=zfKrA-BIdDo,0,0.204751625657082
EoSHo-565Z0,0.0,https://youtube.com/watch?v=EoSHo-565Z0,0,0.204368233680725
dDSmw-vYv2U,0.0,https://youtube.com/watch?v=dDSmw-vYv2U,0,0.202980369329453
PZNuG-KibNY,0.0,https://youtube.com/watch?v=PZNuG-KibNY,0,0.207802727818489
pmNYT-78lug,0.0,https://youtube.com/watch?v=pmNYT-78lug,0,0.203384265303612
WwXYi-1kado,0.0,https://youtube.com/watch?v=WwXYi-1kado,0,0.1940578520298
wdoVi-d3fnY,0.0,https://youtube.com/watch?v=wdoVi-d3fnY,0,0.195180848240852
lfuCq-SoHp0,0.0,https://youtube.com/watch?v=lfuCq-SoHp0,0,0.207456469535828
zVhcb-MH0Rg,0.0,https://youtube.com/watch?v=zVhcb-MH0Rg,0,0.19609446823597
NqbNW-4-rlY,0.0,https://youtube.com/watch?v=NqbNW-4-rlY,0,0.20750592648983
StKuL-pIaZ4,0.0,https://youtube.com/watch?v=StKuL-pIaZ4,0,0.0936099365353584
Vfmbq-7irvM,0.0,https://youtube.com/watch?v=Vfmbq-7irvM,0,0.0922417864203453
HDKCF-ttHiU,0.0,https://youtube.com/watch?v=HDKCF-ttHiU,0,0.100512258708477
jExDO-JJP8k,0.0,https://youtube.com/watch?v=jExDO-JJP8k,0,0.107880122959614
gHrJA-xo66I,0.0,https://youtube.com/watch?v=gHrJA-xo66I,0,0.100744687020779
hKqQF-aa46Y,0.0,https://youtube.com/watch?v=hKqQF-aa46Y,0,0.108722507953644
YeTMJ-pVMZ8,0.0,https://youtube.com/watch?v=YeTMJ-pVMZ8,0,0.108019463717937
Lcyju-sn5t0,0.0,https://youtube.com/watch?v=Lcyju-sn5t0,0,0.103389456868172
ANoHY-1Iyv8,0.0,https://youtube.com/watch?v=ANoHY-1Iyv8,0,0.0929854661226273
PuZRZ-3HZwQ,0.0,https://youtube.com/watch?v=PuZRZ-3HZwQ,0,0.103530772030354
yImMI-Tk_L8,0.0,https://youtube.com/watch?v=yImMI-Tk_L8,0,0.0403551198542118
TswiJ-Dqxsk,0.0,https://youtube.com/watch?v=TswiJ-Dqxsk,0,0.0551531612873077
jhsBK-dX_gU,0.0,https://youtube.com/watch?v=jhsBK-dX_gU,0,0.0541166141629219
lUfzH-zjqow,0.0,https://youtube.com/watch?v=lUfzH-zjqow,0,0.046291571110487
mAmlk-NnTsw,0.0,https://youtube.com/watch?v=mAmlk-NnTsw,0,0.0484142526984215
hhyvJ-r2j48,0.0,https://youtube.com/watch?v=hhyvJ-r2j48,0,0.0593268536031246
uJUDC-7N7MM,0.0,https://youtube.com/watch?v=uJUDC-7N7MM,0,0.0506669133901596
QrkJZ-wYnhM,0.0,https://youtube.com/watch?v=QrkJZ-wYnhM,0,0.0457265451550484
GVFKX-smSJ8,0.0,https://youtube.com/watch?v=GVFKX-smSJ8,0,0.0544115118682385
ojlze-XfAr0,0.0,https://youtube.com/watch?v=ojlze-XfAr0,0,0.0430879294872284
xzVsC-m5ZFE,0.0,https://youtube.com/watch?v=xzVsC-m5ZFE,0,0.0019829743541777
NPIRb-srmds,0.0,https://youtube.com/watch?v=NPIRb-srmds,0,2.86576087091817e-05
vnuAK-SQJbk,0.0,https://youtube.com/watch?v=vnuAK-SQJbk,0,1.0077155820909e-05
rJwYt-ycOJs,0.0,https://youtube.com/watch?v=rJwYt-ycOJs,0,2.68153016804717e-05
wyzhJ-jc0gw,0.0,https://youtube.com/watch?v=wyzhJ-jc0gw,0,5.2880342991557e-05
RmcKW-dmLro,0.0,https://youtube.com/watch?v=RmcKW-dmLro,0,1.08310141513357e-05
thbsG-BPqZ8,0.0,https://youtube.com/watch?v=thbsG-BPqZ8,0,1.03311722341459e-05
HgMky-bsg0g,0.0,https://youtube.com/watch?v=HgMky-bsg0g,0,0.0002450417086947
vScKq-PEP7g,0.0,https://youtube.com/watch?v=vScKq-PEP7g,0,0.0083615453913807
bKtWA-v5LtU,0.0,https://youtube.com/watch?v=bKtWA-v5LtU,0,1.09642060124315e-05
