id,__label__eng_Latn,link,text_language,video_language
SHDGu-0tmhg,0.9012024402618408,https://youtube.com/watch?v=SHDGu-0tmhg,1.0,1.0
Tzngh-egi1g,0.8954405188560486,https://youtube.com/watch?v=Tzngh-egi1g,0.5,0.5
hxLoR-GnuZ0,0.8973374366760254,https://youtube.com/watch?v=hxLoR-GnuZ0,1.0,0.0
BDtnY-oF74I,0.8071593642234802,https://youtube.com/watch?v=BDtnY-oF74I,0.5,1.0
wQRNn-eImGc,0.7924906611442566,https://youtube.com/watch?v=wQRNn-eImGc,1.0,1.0
ShpIT-kQPag,0.7949501872062683,https://youtube.com/watch?v=ShpIT-kQPag,1.0,1.0
skaEu-ByA6Y,0.8041499257087708,https://youtube.com/watch?v=skaEu-ByA6Y,1.0,
RPMmj-Fs41M,0.7955024838447571,https://youtube.com/watch?v=RPMmj-Fs41M,1.0,
cfTPb-GCs38,0.7910435199737549,https://youtube.com/watch?v=cfTPb-GCs38,1.0,0.0
IqQUq-4zrG0,0.795514702796936,https://youtube.com/watch?v=IqQUq-4zrG0,1.0,1.0
hDvgg-TfV4A,0.7980194091796875,https://youtube.com/watch?v=hDvgg-TfV4A,1.0,1.0
aMtzs-MbfNg,0.8089443445205688,https://youtube.com/watch?v=aMtzs-MbfNg,1.0,0.0
wpcpi-jc6eU,0.8047698140144348,https://youtube.com/watch?v=wpcpi-jc6eU,1.0,0.0
zMjVT-80wPI,0.6989161372184753,https://youtube.com/watch?v=zMjVT-80wPI,1.0,0.0
yXzXo-kWaNM,0.7059586644172668,https://youtube.com/watch?v=yXzXo-kWaNM,1.0,0.0
nMQCD-xF3d8,0.6976069211959839,https://youtube.com/watch?v=nMQCD-xF3d8,1.0,0.0
qAGok-3uEMI,0.6936857104301453,https://youtube.com/watch?v=qAGok-3uEMI,1.0,1.0
TkLTA-F3slw,0.6947662234306335,https://youtube.com/watch?v=TkLTA-F3slw,0.5,0.0
sFsYP-DzBdk,0.7057868838310242,https://youtube.com/watch?v=sFsYP-DzBdk,1.0,1.0
sYtcR-jd-PM,0.6965785026550293,https://youtube.com/watch?v=sYtcR-jd-PM,1.0,0.0
UdYYP-kt97w,0.6933305263519287,https://youtube.com/watch?v=UdYYP-kt97w,1.0,0.0
gzHJh-lYoTQ,0.6901038885116577,https://youtube.com/watch?v=gzHJh-lYoTQ,1.0,1.0
YiZFE-UZOVg,0.7081679105758667,https://youtube.com/watch?v=YiZFE-UZOVg,0.5,0.5
GpoNy--LrtM,0.59708571434021,https://youtube.com/watch?v=GpoNy--LrtM,0.5,0.0
DFhEO-EhhmE,0.6096293330192566,https://youtube.com/watch?v=DFhEO-EhhmE,0.0,0.0
omqTN-58NM0,0.5988299250602722,https://youtube.com/watch?v=omqTN-58NM0,1.0,1.0
VOfsw-wmZIM,0.5950811505317688,https://youtube.com/watch?v=VOfsw-wmZIM,1.0,0.0
UHUrV-0Ruu8,0.5984129309654236,https://youtube.com/watch?v=UHUrV-0Ruu8,1.0,1.0
CIvEd-B3l3c,0.6080875992774963,https://youtube.com/watch?v=CIvEd-B3l3c,0.5,
Ceinv-aUtL8,0.5981541872024536,https://youtube.com/watch?v=Ceinv-aUtL8,0.0,0.0
LBSQg-WIK7s,0.592003583908081,https://youtube.com/watch?v=LBSQg-WIK7s,0.5,0.0
XUkpL-b1-5w,0.5964513421058655,https://youtube.com/watch?v=XUkpL-b1-5w,1.0,0.0
dTiGy-lgFdY,0.5970426797866821,https://youtube.com/watch?v=dTiGy-lgFdY,1.0,1.0
QkeJM-1XbIY,0.5067369937896729,https://youtube.com/watch?v=QkeJM-1XbIY,0.0,0.0
oLrFL-Qcpts,0.5027422308921814,https://youtube.com/watch?v=oLrFL-Qcpts,0.0,0.0
vRyUo-sFUGk,0.4978398978710174,https://youtube.com/watch?v=vRyUo-sFUGk,1.0,1.0
jnDEX--qzm4,0.4940867722034454,https://youtube.com/watch?v=jnDEX--qzm4,0.0,
SwlJe-lfCcI,0.504900336265564,https://youtube.com/watch?v=SwlJe-lfCcI,0.5,0.0
MwSSV-KIxMs,0.4925557971000671,https://youtube.com/watch?v=MwSSV-KIxMs,0.5,0.0
xYyYb-nISm8,0.5059083700180054,https://youtube.com/watch?v=xYyYb-nISm8,1.0,1.0
zEnMM-4lDdE,0.4995767176151275,https://youtube.com/watch?v=zEnMM-4lDdE,1.0,0.0
BQzQu-sSXvw,0.5097999572753906,https://youtube.com/watch?v=BQzQu-sSXvw,0.5,0.0
uvbbo-mFpO0,0.4907004535198211,https://youtube.com/watch?v=uvbbo-mFpO0,1.0,1.0
GmvQC-yNR8k,0.3989200890064239,https://youtube.com/watch?v=GmvQC-yNR8k,1.0,0.0
hhVwX-0BB2A,0.3927109837532043,https://youtube.com/watch?v=hhVwX-0BB2A,1.0,1.0
cRTHk-yIeYk,0.3917640149593353,https://youtube.com/watch?v=cRTHk-yIeYk,1.0,0.0
AJNqP-9Bizc,0.4013532102108001,https://youtube.com/watch?v=AJNqP-9Bizc,1.0,
dhmBE-9USlU,0.3949921429157257,https://youtube.com/watch?v=dhmBE-9USlU,0.0,1.0
Szqet-_gtTU,0.3966538906097412,https://youtube.com/watch?v=Szqet-_gtTU,0.5,
MBDks-HS0SA,0.4003620147705078,https://youtube.com/watch?v=MBDks-HS0SA,1.0,1.0
RKxhR-uqR8Q,0.3900385499000549,https://youtube.com/watch?v=RKxhR-uqR8Q,1.0,1.0
mUquJ-sKm_A,0.4090297520160675,https://youtube.com/watch?v=mUquJ-sKm_A,0.5,0.0
vYete-XefDI,0.3900733590126037,https://youtube.com/watch?v=vYete-XefDI,0.5,
fsVmZ-y0OnE,0.301290214061737,https://youtube.com/watch?v=fsVmZ-y0OnE,0.0,0.0
wSMLg-_no1s,0.2976681888103485,https://youtube.com/watch?v=wSMLg-_no1s,0.0,
OcEVc-g0a38,0.2976681888103485,https://youtube.com/watch?v=OcEVc-g0a38,0.0,1.0
YJwsd-tx5_4,0.2930736541748047,https://youtube.com/watch?v=YJwsd-tx5_4,0.0,0.0
dbXEt-9YPtM,0.3028953969478607,https://youtube.com/watch?v=dbXEt-9YPtM,0.0,0.0
OzMBC-1NJjU,0.2976681888103485,https://youtube.com/watch?v=OzMBC-1NJjU,0.0,1.0
Xjpkf-0ECDE,0.3038024306297302,https://youtube.com/watch?v=Xjpkf-0ECDE,0.0,0.0
QUaPu-RQY1E,0.2985785901546478,https://youtube.com/watch?v=QUaPu-RQY1E,0.0,
iIYVQ-9n_JY,0.3091906309127807,https://youtube.com/watch?v=iIYVQ-9n_JY,0.0,0.0
rssVB-U-E1s,0.3085208237171173,https://youtube.com/watch?v=rssVB-U-E1s,0.5,0.0
HOJHF-6l9zA,0.2072169184684753,https://youtube.com/watch?v=HOJHF-6l9zA,1.0,1.0
ICHAa-OYq1s,0.2020524591207504,https://youtube.com/watch?v=ICHAa-OYq1s,0.0,0.0
QaHKo-lc1bY,0.1951790004968643,https://youtube.com/watch?v=QaHKo-lc1bY,1.0,0.0
xjeiy-NRJYU,0.2051471024751663,https://youtube.com/watch?v=xjeiy-NRJYU,0.5,0.0
QYFcg-NI364,0.2052485942840576,https://youtube.com/watch?v=QYFcg-NI364,0.0,0.0
xrjMA-5UeHo,0.1945509612560272,https://youtube.com/watch?v=xrjMA-5UeHo,0.0,0.0
ckzlV-8C6-c,0.1921532452106475,https://youtube.com/watch?v=ckzlV-8C6-c,1.0,0.0
fohYo-BnYjY,0.2018497735261917,https://youtube.com/watch?v=fohYo-BnYjY,0.5,0.0
gHHtt-j3mj0,0.1936957836151123,https://youtube.com/watch?v=gHHtt-j3mj0,0.0,1.0
ZtGJi-qDrNo,0.1991872787475586,https://youtube.com/watch?v=ZtGJi-qDrNo,0.0,1.0
bzILO-1FFK0,0.1008750796318054,https://youtube.com/watch?v=bzILO-1FFK0,1.0,0.0
QSuqi-cl73E,0.0921234786510467,https://youtube.com/watch?v=QSuqi-cl73E,0.5,
OjqPW-V8VRA,0.0947555303573608,https://youtube.com/watch?v=OjqPW-V8VRA,0.0,0.0
Wlgtd-cjrws,0.103864386677742,https://youtube.com/watch?v=Wlgtd-cjrws,1.0,
dwivs-EbR58,0.0932571962475776,https://youtube.com/watch?v=dwivs-EbR58,0.0,
ohkGf-MQ_5Y,0.0988801941275596,https://youtube.com/watch?v=ohkGf-MQ_5Y,0.0,0.0
rtEzc-e-9KY,0.0987586230039596,https://youtube.com/watch?v=rtEzc-e-9KY,0.0,0.0
FwgzE-2r6yk,0.098708264529705,https://youtube.com/watch?v=FwgzE-2r6yk,0.5,0.0
QnvnC-f0KPk,0.0968378335237503,https://youtube.com/watch?v=QnvnC-f0KPk,0.0,0.0
PoPtY-Wi_HY,0.0989072620868682,https://youtube.com/watch?v=PoPtY-Wi_HY,0.0,0.0
iRuPp-CncgQ,0.0470383614301681,https://youtube.com/watch?v=iRuPp-CncgQ,0.5,0.0
pBUKa-XgYY4,0.04791796579957,https://youtube.com/watch?v=pBUKa-XgYY4,1.0,1.0
ooCCQ-kOeNI,0.0405900813639164,https://youtube.com/watch?v=ooCCQ-kOeNI,1.0,1.0
gAIdJ-c8fg4,0.0580088272690773,https://youtube.com/watch?v=gAIdJ-c8fg4,0.0,0.0
kHZTX-CbwwE,0.059118278324604,https://youtube.com/watch?v=kHZTX-CbwwE,0.0,0.0
OQxnB-BTk3E,0.0402146056294441,https://youtube.com/watch?v=OQxnB-BTk3E,0.0,0.0
iuLUN-SbsM0,0.0526560433208942,https://youtube.com/watch?v=iuLUN-SbsM0,0.0,0.0
yXBxs-rhnZY,0.0423948466777801,https://youtube.com/watch?v=yXBxs-rhnZY,0.0,0.0
paBgx-ORY2k,0.0533408187329769,https://youtube.com/watch?v=paBgx-ORY2k,0.5,0.0
lOypN-eHMEM,0.0433489717543125,https://youtube.com/watch?v=lOypN-eHMEM,1.0,1.0
cFdvC-dkq6o,2.9993787393323142e-05,https://youtube.com/watch?v=cFdvC-dkq6o,0.0,0.0
ZRsSZ-vDATY,0.0006079839076846,https://youtube.com/watch?v=ZRsSZ-vDATY,0.0,
SpeEP-N3qI0,1.0236648449790664e-05,https://youtube.com/watch?v=SpeEP-N3qI0,0.0,0.0
jPXyx-QNq8I,0.0013261915883049,https://youtube.com/watch?v=jPXyx-QNq8I,1.0,
ZqNYz-qCxX8,1.0000050679082053e-05,https://youtube.com/watch?v=ZqNYz-qCxX8,0.5,0.0
QyadA-vQB-Q,0.0013622597325593,https://youtube.com/watch?v=QyadA-vQB-Q,0.5,0.0
owGqL-Lills,1.006465117825428e-05,https://youtube.com/watch?v=owGqL-Lills,0.0,0.0
VJMli-YDeEc,1.0023758477473166e-05,https://youtube.com/watch?v=VJMli-YDeEc,0.0,0.5
MnYtp-qal9I,1.000000338535756e-05,https://youtube.com/watch?v=MnYtp-qal9I,0.0,0.0
wTZuJ-pKyHc,1.000000338535756e-05,https://youtube.com/watch?v=wTZuJ-pKyHc,0.0,0.0
