id,__label__ell_Grek,link,text_language,video_language
GQDTS-dkoEI,0.8257095813751221,https://youtube.com/watch?v=GQDTS-dkoEI,1.0,
KbLfw-_1XoU,0.7891351580619812,https://youtube.com/watch?v=KbLfw-_1XoU,1.0,0.0
isZPF-SmgXw,0.7721731662750244,https://youtube.com/watch?v=isZPF-SmgXw,0.5,0.5
zFXWw-pEvXk,0.7364839911460876,https://youtube.com/watch?v=zFXWw-pEvXk,0.5,1.0
tsYog-ghv50,0.6977339386940002,https://youtube.com/watch?v=tsYog-ghv50,1.0,
oBeBj-_Mvyg,0.6659413576126099,https://youtube.com/watch?v=oBeBj-_Mvyg,1.0,0.0
mxyDo-7YuyI,0.6425321698188782,https://youtube.com/watch?v=mxyDo-7YuyI,0.5,0.0
wmdsS-hGoqk,0.6206424832344055,https://youtube.com/watch?v=wmdsS-hGoqk,0.5,0.0
RPuhF-q4w9Y,0.5388611555099487,https://youtube.com/watch?v=RPuhF-q4w9Y,0.5,0.0
nJHvN-k_PVk,0.4816670417785644,https://youtube.com/watch?v=nJHvN-k_PVk,0.5,0.0
OAfWH-gswzo,0.4267148971557617,https://youtube.com/watch?v=OAfWH-gswzo,0.5,0.5
dHhFf-vgmRM,0.4260906875133514,https://youtube.com/watch?v=dHhFf-vgmRM,0.5,0.0
dHvgI-My9Eo,0.4182559847831726,https://youtube.com/watch?v=dHvgI-My9Eo,0.5,0.0
RxJID-JCW40,0.370595633983612,https://youtube.com/watch?v=RxJID-JCW40,0.5,1.0
xlTZS-CTa98,0.3570191860198974,https://youtube.com/watch?v=xlTZS-CTa98,1.0,1.0
DPYTE-V91sM,0.3131946921348572,https://youtube.com/watch?v=DPYTE-V91sM,0.5,0.5
PKkKL-uZol8,0.2344689071178436,https://youtube.com/watch?v=PKkKL-uZol8,1.0,1.0
Eckhp-fcLZE,0.2322388887405395,https://youtube.com/watch?v=Eckhp-fcLZE,0.5,0.0
HEPvN-vDPnw,0.2214762419462204,https://youtube.com/watch?v=HEPvN-vDPnw,0.5,1.0
Wpjmj-qVGiM,0.2165381014347076,https://youtube.com/watch?v=Wpjmj-qVGiM,1.0,1.0
XdHVh-JG6FU,0.1705002635717392,https://youtube.com/watch?v=XdHVh-JG6FU,1.0,1.0
uHRrh-C3wJU,0.167619988322258,https://youtube.com/watch?v=uHRrh-C3wJU,0.5,0.0
GKxAl-ueByQ,0.1572261452674865,https://youtube.com/watch?v=GKxAl-ueByQ,1.0,1.0
itdtj-nNmQY,0.1247676089406013,https://youtube.com/watch?v=itdtj-nNmQY,0.5,1.0
vLJoQ-sUAqk,0.1185038983821868,https://youtube.com/watch?v=vLJoQ-sUAqk,0.5,1.0
NLLnI-maSac,0.0905920192599296,https://youtube.com/watch?v=NLLnI-maSac,1.0,1.0
JhkYM-JQSDU,0.0901835635304451,https://youtube.com/watch?v=JhkYM-JQSDU,0.5,1.0
mHAEx-JzMmI,0.0834126994013786,https://youtube.com/watch?v=mHAEx-JzMmI,0.5,0.5
nIHzA-b5cd0,0.0712283700704574,https://youtube.com/watch?v=nIHzA-b5cd0,1.0,1.0
gZHbl-YRbmY,0.0635719299316406,https://youtube.com/watch?v=gZHbl-YRbmY,0.0,0.0
MuPYq-Q3DmY,0.05301358923316,https://youtube.com/watch?v=MuPYq-Q3DmY,0.5,1.0
ckQxf-mkIS8,0.0489112734794616,https://youtube.com/watch?v=ckQxf-mkIS8,0.5,0.0
mHLqH-ZZyPc,0.0476543642580509,https://youtube.com/watch?v=mHLqH-ZZyPc,0.5,0.5
NVRXa-V8CtM,0.0475585237145423,https://youtube.com/watch?v=NVRXa-V8CtM,0.5,0.0
zqTvW-avm2g,3.143447975162417e-05,https://youtube.com/watch?v=zqTvW-avm2g,0.0,0.0
MuNEP-klKtA,1.411068660672754e-05,https://youtube.com/watch?v=MuNEP-klKtA,0.0,0.0
aLmQu-e-ewQ,1.0642451343301218e-05,https://youtube.com/watch?v=aLmQu-e-ewQ,0.0,0.0
hXmhC-y2erU,1.0209369975200389e-05,https://youtube.com/watch?v=hXmhC-y2erU,0.0,0.0
zNXkz-1b1C4,1.0129088877874892e-05,https://youtube.com/watch?v=zNXkz-1b1C4,0.0,0.0
oyLfP-eILhk,1.00461429610732e-05,https://youtube.com/watch?v=oyLfP-eILhk,0.0,0.0
xHphJ--A37o,1.0044792361441068e-05,https://youtube.com/watch?v=xHphJ--A37o,0.0,0.0
NWHGT-6OkOs,1.0038912478194106e-05,https://youtube.com/watch?v=NWHGT-6OkOs,0.0,0.0
WLRUx-nnZNc,1.0002873750636354e-05,https://youtube.com/watch?v=WLRUx-nnZNc,0.0,0.0
aKiIb-HjXAQ,1.0002273484133184e-05,https://youtube.com/watch?v=aKiIb-HjXAQ,0.0,0.0
