id,__label__deu_Latn,link,text_lang,video_lang
BpYcf-EbdPI,0.8002838492393494,https://youtube.com/watch?v=BpYcf-EbdPI,0,0
OdsoR-0HwvM,0.8060641884803772,https://youtube.com/watch?v=OdsoR-0HwvM,0,0
JXEad-RHLz8,0.8076939582824707,https://youtube.com/watch?v=JXEad-RHLz8,0,0
RPGjX-zaenQ,0.8058555126190186,https://youtube.com/watch?v=RPGjX-zaenQ,1,1
tKSSF-WtuIo,0.6985885500907898,https://youtube.com/watch?v=tKSSF-WtuIo,1,NA 
ibQPH-pw1gc,0.703048050403595,https://youtube.com/watch?v=ibQPH-pw1gc,1,0
FztnV-sYR4Q,0.696888267993927,https://youtube.com/watch?v=FztnV-sYR4Q,"0,5",0
ivKzQ-Dw4Sc,0.696888267993927,https://youtube.com/watch?v=ivKzQ-Dw4Sc,"0,5",0
Uoqeo-vPmvc,0.6943709850311279,https://youtube.com/watch?v=Uoqeo-vPmvc,"0,5",0
QWSjr-us9vk,0.7022379040718079,https://youtube.com/watch?v=QWSjr-us9vk,0,0
XMVPv-OPaGg,0.7079401612281799,https://youtube.com/watch?v=XMVPv-OPaGg,0,0
sWqiQ-FZ960,0.7036392092704773,https://youtube.com/watch?v=sWqiQ-FZ960,0,0
IyWFE-zxrXo,0.7061157822608948,https://youtube.com/watch?v=IyWFE-zxrXo,1,0
OEHgh-57AQk,0.696888267993927,https://youtube.com/watch?v=OEHgh-57AQk,"0,5",0
boXbc-I5Nr4,0.5942509174346924,https://youtube.com/watch?v=boXbc-I5Nr4,1,0
KhPqT-Ic4hg,0.6092822551727295,https://youtube.com/watch?v=KhPqT-Ic4hg,"0,5",NA 
amEIQ-V11yM,0.5912205576896667,https://youtube.com/watch?v=amEIQ-V11yM,1,NA 
DOGoE-KclhY,0.5982649922370911,https://youtube.com/watch?v=DOGoE-KclhY,1,0
cTiGp-phE9Y,0.6083983182907104,https://youtube.com/watch?v=cTiGp-phE9Y,1,0
AYayf-ajhW0,0.6001370549201965,https://youtube.com/watch?v=AYayf-ajhW0,1,1
PrDgy-111Og,0.5963211059570312,https://youtube.com/watch?v=PrDgy-111Og,1,0
kboXY-KgJHY,0.5926809310913086,https://youtube.com/watch?v=kboXY-KgJHY,0,0
snfLO-sPWwI,0.5911134481430054,https://youtube.com/watch?v=snfLO-sPWwI,0,0
fGNiL-ck8Bc,0.5939891934394836,https://youtube.com/watch?v=fGNiL-ck8Bc,1,0
axdpy-qwXkY,0.4980255961418152,https://youtube.com/watch?v=axdpy-qwXkY,"0,5",0
jjLwK-umHFo,0.5072124600410461,https://youtube.com/watch?v=jjLwK-umHFo,"0,5",0
epZuG-lyVVs,0.4988378584384918,https://youtube.com/watch?v=epZuG-lyVVs,"0,5",1
QYlMF-qK0vs,0.5056141018867493,https://youtube.com/watch?v=QYlMF-qK0vs,"0,5",0
NzBdT-iu-wc,0.4948294460773468,https://youtube.com/watch?v=NzBdT-iu-wc,"0,5",0
bvegk-uT1uY,0.5019909143447876,https://youtube.com/watch?v=bvegk-uT1uY,"0,5",0
AroOJ-rUMG0,0.5056141018867493,https://youtube.com/watch?v=AroOJ-rUMG0,"0,5",0
sRntw-sCEfw,0.5056141018867493,https://youtube.com/watch?v=sRntw-sCEfw,"0,5",0
qfMQK-C-AuU,0.4907117784023285,https://youtube.com/watch?v=qfMQK-C-AuU,"0,5",NA 
KepwL-KdbLQ,0.4911373555660248,https://youtube.com/watch?v=KepwL-KdbLQ,1,0
WJYKM-b9cw4,0.4079146683216095,https://youtube.com/watch?v=WJYKM-b9cw4,"0,5",0
HzMKH-uV-G0,0.3964297771453857,https://youtube.com/watch?v=HzMKH-uV-G0,"0,5",NA 
wbgpR-iyeWI,0.4042958617210388,https://youtube.com/watch?v=wbgpR-iyeWI,0,0
gaZXt-1Em0c,0.3907147049903869,https://youtube.com/watch?v=gaZXt-1Em0c,"0,5",0
cEICN-Umy2c,0.3999532759189605,https://youtube.com/watch?v=cEICN-Umy2c,0,0
lmJdX-MtUpY,0.3958059251308441,https://youtube.com/watch?v=lmJdX-MtUpY,0,0
gBbWR-p8DzA,0.4089791774749756,https://youtube.com/watch?v=gBbWR-p8DzA,"0,5",0
iLUFL-MQEsg,0.3964297771453857,https://youtube.com/watch?v=iLUFL-MQEsg,"0,5",0
SdKGQ-d0Rn0,0.3906135559082031,https://youtube.com/watch?v=SdKGQ-d0Rn0,"0,5",0
PVFdX-G8qpg,0.3978533148765564,https://youtube.com/watch?v=PVFdX-G8qpg,0,0
dTIGY-Xu2CE,0.3040844202041626,https://youtube.com/watch?v=dTIGY-Xu2CE,"0,5",0
zdjbj-v0R0s,0.3002620041370392,https://youtube.com/watch?v=zdjbj-v0R0s,0,0
pDDUK-y40-0,0.2963624894618988,https://youtube.com/watch?v=pDDUK-y40-0,"0,5",NA 
mLeQA-evlkU,0.3065482974052429,https://youtube.com/watch?v=mLeQA-evlkU,"0,5",0
AAMTI--z2vg,0.2963624894618988,https://youtube.com/watch?v=AAMTI--z2vg,"0,5",0
ywmpn-AMgQ0,0.2924895286560058,https://youtube.com/watch?v=ywmpn-AMgQ0,"0,5",NA 
SQIyq-jnSqc,0.2939781844615936,https://youtube.com/watch?v=SQIyq-jnSqc,"0,5",0
QIAdp-gHtHc,0.3075768053531647,https://youtube.com/watch?v=QIAdp-gHtHc,"0,5",0
SbYLj-Fm8xI,0.2913572192192077,https://youtube.com/watch?v=SbYLj-Fm8xI,"0,5",0
HlKrp-tyBDg,0.3068327009677887,https://youtube.com/watch?v=HlKrp-tyBDg,0,0
LcHAt-UstWI,0.1985208839178085,https://youtube.com/watch?v=LcHAt-UstWI,"0,5",0
YFyRu-f0S-0,0.2019399553537368,https://youtube.com/watch?v=YFyRu-f0S-0,"0,5",0
hWart-_kNRY,0.1996496766805648,https://youtube.com/watch?v=hWart-_kNRY,"0,5",0
rBBxY-c5rFk,0.2035902142524719,https://youtube.com/watch?v=rBBxY-c5rFk,"0,5",0
DFOeU-PvHJw,0.1935061663389206,https://youtube.com/watch?v=DFOeU-PvHJw,"0,5",0
COcon-dvx6o,0.1916335374116897,https://youtube.com/watch?v=COcon-dvx6o,"0,5",0
uIhMs-HlqJk,0.1980080306529998,https://youtube.com/watch?v=uIhMs-HlqJk,0,0
RagMG-EaZRw,0.1937920600175857,https://youtube.com/watch?v=RagMG-EaZRw,"0,5",0
TUsbH-6OegU,0.1929381042718887,https://youtube.com/watch?v=TUsbH-6OegU,"0,5",0
RGMQs-iPYsQ,0.1931646466255188,https://youtube.com/watch?v=RGMQs-iPYsQ,0,0
mWyht-2VBaA,0.1083194762468338,https://youtube.com/watch?v=mWyht-2VBaA,"0,5",0
ZWNqR-2pO_M,0.1052902713418006,https://youtube.com/watch?v=ZWNqR-2pO_M,0,0
kHXxk-EnNeI,0.1097547188401222,https://youtube.com/watch?v=kHXxk-EnNeI,"0,5",NA 
AhHhP-ppkOE,0.0957873463630676,https://youtube.com/watch?v=AhHhP-ppkOE,0,0
yyhLa-GzWO4,0.1034912094473838,https://youtube.com/watch?v=yyhLa-GzWO4,0,0
lOkst-CkbLg,0.0912650898098945,https://youtube.com/watch?v=lOkst-CkbLg,"0,5",0
CkcXW-OkD54,0.1045891717076301,https://youtube.com/watch?v=CkcXW-OkD54,0,0
RZPiu-Zc0P4,0.1039283722639083,https://youtube.com/watch?v=RZPiu-Zc0P4,0,0
ExIEu-iuJYY,0.0958603173494339,https://youtube.com/watch?v=ExIEu-iuJYY,"0,5",NA 
YNVSW-DKBJY,0.0945477783679962,https://youtube.com/watch?v=YNVSW-DKBJY,0,0
HTcod-1OwpM,0.0535132400691509,https://youtube.com/watch?v=HTcod-1OwpM,0,0
BwWWz-rBSKU,0.0467093773186206,https://youtube.com/watch?v=BwWWz-rBSKU,0,0
DoUid-wFLGM,0.0438412502408027,https://youtube.com/watch?v=DoUid-wFLGM,0,0
qeSyh-8zFPI,0.0502323508262634,https://youtube.com/watch?v=qeSyh-8zFPI,0,0
JIwkS-HN23g,0.0422980338335037,https://youtube.com/watch?v=JIwkS-HN23g,0,0
qjOzx-6GTLY,0.046633556485176,https://youtube.com/watch?v=qjOzx-6GTLY,0,0
ldVXl-dwpJI,0.0439492017030715,https://youtube.com/watch?v=ldVXl-dwpJI,0,0
XIDEr-ST08A,0.043162502348423,https://youtube.com/watch?v=XIDEr-ST08A,"0,5",0
fdAdR-NCiqc,0.0449271015822887,https://youtube.com/watch?v=fdAdR-NCiqc,0,
QGUlQ-uW3Hg,0.0510614737868309,https://youtube.com/watch?v=QGUlQ-uW3Hg,0,0
DzlcX-H9gBI,1.3947235856903715e-05,https://youtube.com/watch?v=DzlcX-H9gBI,0,0
DsDUv-u-uXM,0.0024956334382295,https://youtube.com/watch?v=DsDUv-u-uXM,0,0
jUnCL-rv9fk,0.0036813947372138,https://youtube.com/watch?v=jUnCL-rv9fk,0,0
DxIjO-8cGVg,0.0042839064262807,https://youtube.com/watch?v=DxIjO-8cGVg,0,0
vpKlw-5xC5I,1.00157221822883e-05,https://youtube.com/watch?v=vpKlw-5xC5I,0,0
yJoZM-GAKxg,1.000039446807932e-05,https://youtube.com/watch?v=yJoZM-GAKxg,0,0
bTsGv-MWBKQ,0.005490344017744,https://youtube.com/watch?v=bTsGv-MWBKQ,0,0
nzNqr-tQd2E,0.0063590086065232,https://youtube.com/watch?v=nzNqr-tQd2E,0,0
hrjwz-sFhNs,0.0001287840423174,https://youtube.com/watch?v=hrjwz-sFhNs,0,0
yOkXH-X52ck,0.0011940916301682,https://youtube.com/watch?v=yOkXH-X52ck,0,0
