id,__label__hrv_Latn,link,text_lang,video_lang
owoiU-cXdkw,0.6977555155754089,https://youtube.com/watch?v=owoiU-cXdkw,"0,5",
FjgZt-nFyU8,0.7040839195251465,https://youtube.com/watch?v=FjgZt-nFyU8,0,0
QTvRr-AErxU,0.7004688382148743,accidentally clicked on the link :(,0,0
GDHzu-k7tRs,0.6987465620040894,https://youtube.com/watch?v=GDHzu-k7tRs,"0,5","0,5"
LqrKE-2DQm0,0.60659259557724,https://youtube.com/watch?v=LqrKE-2DQm0,"0,5","0,5"
iuUjN-tMAQc,0.6060623526573181,https://youtube.com/watch?v=iuUjN-tMAQc,0,
alxPM-G-W8g,0.5990079641342163,https://youtube.com/watch?v=alxPM-G-W8g,0,0
PVRgm-q40cI,0.5969760417938232,https://youtube.com/watch?v=PVRgm-q40cI,0,0
ExafB-mdsoU,0.6073778867721558,https://youtube.com/watch?v=ExafB-mdsoU,0,0
TUlbg-kB2TA,0.6034287810325623,https://youtube.com/watch?v=TUlbg-kB2TA,0,0
XswtQ-uiAio,0.5989648103713989,https://youtube.com/watch?v=XswtQ-uiAio,0,0
dDZeb-UftXM,0.5926182866096497,https://youtube.com/watch?v=dDZeb-UftXM,"0,5","0,,5"
OwfFE-CD2oo,0.6033390164375305,https://youtube.com/watch?v=OwfFE-CD2oo,0,
xkBZS-9WOyI,0.6065773963928223,https://youtube.com/watch?v=xkBZS-9WOyI,"0,5","0,5"
hPUax-vhFuY,0.493000715970993,https://youtube.com/watch?v=hPUax-vhFuY,0.5,0
OeiuC-pFiCc,0.4912656843662262,https://youtube.com/watch?v=OeiuC-pFiCc,0,0
SYCAr-UAFf8,0.501539409160614,https://youtube.com/watch?v=SYCAr-UAFf8,"0,5","0,5"
hwrDg-vzG2w,0.4995878040790558,https://youtube.com/watch?v=hwrDg-vzG2w,"0,5","0,5"
uOEIA-gvJ_o,0.4978426396846771,https://youtube.com/watch?v=uOEIA-gvJ_o,0,0
FjgHw-6kW3U,0.5059387683868408,https://youtube.com/watch?v=FjgHw-6kW3U,0,0
cIKvB-Us1XQ,0.5084394216537476,https://youtube.com/watch?v=cIKvB-Us1XQ,0,0
hnXuP-3Q8ek,0.5093783140182495,https://youtube.com/watch?v=hnXuP-3Q8ek,0,0
DOjJP-mYjn0,0.497848778963089,https://youtube.com/watch?v=DOjJP-mYjn0,0,0
NfQax---2nU,0.4904147684574127,https://youtube.com/watch?v=NfQax---2nU,0,
xmNuK-IThiM,0.4063272476196289,https://youtube.com/watch?v=xmNuK-IThiM,0,0
TfOwQ--CN9c,0.3989224135875702,https://youtube.com/watch?v=TfOwQ--CN9c,"0,5","0,5"
BhPAD-0Z1X4,0.4068117439746856,https://youtube.com/watch?v=BhPAD-0Z1X4,"0,5","0,5"
bsHOX-GU79M,0.395895779132843,https://youtube.com/watch?v=bsHOX-GU79M,0,0
ilOvG--u6Q4,0.4041141867637634,https://youtube.com/watch?v=ilOvG--u6Q4,"0,5",
RHggV-4LmCw,0.4005237817764282,https://youtube.com/watch?v=RHggV-4LmCw,0,0
QvvGI-_by34,0.3981588184833526,https://youtube.com/watch?v=QvvGI-_by34,0,0
hhhgJ-QzZcI,0.4080695509910583,https://youtube.com/watch?v=hhhgJ-QzZcI,0,0
EswHv-EW7CQ,0.3953608274459839,https://youtube.com/watch?v=EswHv-EW7CQ,0,0
fTYjV-8gPyw,0.3963686525821686,https://youtube.com/watch?v=fTYjV-8gPyw,0,
AzLkQ-xecT8,0.291768878698349,https://youtube.com/watch?v=AzLkQ-xecT8,0,0
KOMhl-aWp4g,0.2981345653533935,https://youtube.com/watch?v=KOMhl-aWp4g,0,0
xlIqx-USuDk,0.2938069999217987,https://youtube.com/watch?v=xlIqx-USuDk,0,0
vfuMg-ygsaw,0.3072905838489532,https://youtube.com/watch?v=vfuMg-ygsaw,1,0
YxgCR-ci83k,0.3045899569988251,https://youtube.com/watch?v=YxgCR-ci83k,"0,5","0,5"
ihiib-d12DA,0.3018777370452881,https://youtube.com/watch?v=ihiib-d12DA,0,0
pkRBX-nogNE,0.3079738318920135,https://youtube.com/watch?v=pkRBX-nogNE,0,0
wlquE-GHyOY,0.2926027476787567,https://youtube.com/watch?v=wlquE-GHyOY,"0,5","0,5"
wqNfW-I7O2E,0.3096703886985779,https://youtube.com/watch?v=wqNfW-I7O2E,0,0
nHnFz-O57u4,0.2989729344844818,https://youtube.com/watch?v=nHnFz-O57u4,0,0
UdOfk-zXwIw,0.2049960196018219,https://youtube.com/watch?v=UdOfk-zXwIw,0,0
weAxU-rqUs0,0.2048303782939911,https://youtube.com/watch?v=weAxU-rqUs0,0,0
HpIaJ-sS_F4,0.195770114660263,https://youtube.com/watch?v=HpIaJ-sS_F4,0,0
ShaaD-1AjCA,0.2074707150459289,https://youtube.com/watch?v=ShaaD-1AjCA,0,0
dPfyy-Lx6lQ,0.2057878077030182,https://youtube.com/watch?v=dPfyy-Lx6lQ,0,0
QcelU-NAZvU,0.20709128677845,https://youtube.com/watch?v=QcelU-NAZvU,0,0
yrgLh-TWJCw,0.1915611773729324,https://youtube.com/watch?v=yrgLh-TWJCw,0,0
yvKPa-sEEG8,0.2078825831413269,https://youtube.com/watch?v=yvKPa-sEEG8,0,0
PWZLE-IPUj4,0.1911049038171768,https://youtube.com/watch?v=PWZLE-IPUj4,1,1
ucnQX-9bnj4,0.2079089879989624,https://youtube.com/watch?v=ucnQX-9bnj4,"0,5",
RdWXE-bSGLI,0.1035451889038086,https://youtube.com/watch?v=RdWXE-bSGLI,0,0
fLXem-mgmrs,0.0987230241298675,https://youtube.com/watch?v=fLXem-mgmrs,0,0
vqRow-nyJSA,0.0946582108736038,https://youtube.com/watch?v=vqRow-nyJSA,"0,5","0,5"
efUWa-feb10,0.1017166599631309,https://youtube.com/watch?v=efUWa-feb10,0,0
SRPpP-Ug8w8,0.1003043204545974,https://youtube.com/watch?v=SRPpP-Ug8w8,0,0
ijedy-YZY0w,0.1039947271347045,https://youtube.com/watch?v=ijedy-YZY0w,0,0
rtPQN-Gb4l8,0.1043416783213615,https://youtube.com/watch?v=rtPQN-Gb4l8,0,0
GUAFD-DTrbY,0.0918988659977912,https://youtube.com/watch?v=GUAFD-DTrbY,0,0
BLzth-PJXGI,0.0946749374270439,https://youtube.com/watch?v=BLzth-PJXGI,0,0
jROjP-uURjM,0.1057513654232025,https://youtube.com/watch?v=jROjP-uURjM,0,0
CPloT-zCEYM,0.0430721305310726,https://youtube.com/watch?v=CPloT-zCEYM,0,0
QZCWc-Ga0to,0.0595196336507797,https://youtube.com/watch?v=QZCWc-Ga0to,0,
pLSjW-7ShLE,0.0400337539613246,https://youtube.com/watch?v=pLSjW-7ShLE,0,0
ziaPU-3gfqo,0.0517083965241909,https://youtube.com/watch?v=ziaPU-3gfqo,0,0
AXuFH-dtTW8,0.0400091744959354,https://youtube.com/watch?v=AXuFH-dtTW8,0,0
pZmre-LoVq8,0.0433350726962089,https://youtube.com/watch?v=pZmre-LoVq8,0,0
PtEPj-TN1zw,0.0481411479413509,https://youtube.com/watch?v=PtEPj-TN1zw,0,0
gqmQm-pCfok,0.0454552359879016,https://youtube.com/watch?v=gqmQm-pCfok,0,0
jZpEk-9RFNQ,0.0452126748859882,https://youtube.com/watch?v=jZpEk-9RFNQ,0,0
hWmTN-LLU9I,0.045234840363264,https://youtube.com/watch?v=hWmTN-LLU9I,0,
CiUfY-_Vqzg,0.0005555734969675,https://youtube.com/watch?v=CiUfY-_Vqzg,0,0
kqzOo-7fhpw,1.0001453119912185e-05,https://youtube.com/watch?v=kqzOo-7fhpw,0,0
pjcsW-HDsLw,1.0000012480304576e-05,https://youtube.com/watch?v=pjcsW-HDsLw,0,0
FtxsJ-B6r-8,1.0000269867305178e-05,https://youtube.com/watch?v=FtxsJ-B6r-8,0,0
wGyKW-Gxi7U,0.0014379578642547,https://youtube.com/watch?v=wGyKW-Gxi7U,0,0
HwEbL-qct_U,1.0000012480304576e-05,https://youtube.com/watch?v=HwEbL-qct_U,0,0
Chjyw-Gw7rw,1.000000338535756e-05,https://youtube.com/watch?v=Chjyw-Gw7rw,0,0
kQBvw-rQEEk,1.0002664566854946e-05,https://youtube.com/watch?v=kQBvw-rQEEk,0,
ZMiBu-IBN80,1.1874108167830856e-05,https://youtube.com/watch?v=ZMiBu-IBN80,0,0
ITVRA-mtDnI,1.0003417628468014e-05,https://youtube.com/watch?v=ITVRA-mtDnI,0,
