id,__label__ces_Latn,link,text_lang,video_lang,Unnamed: 6
smksK-0z1B4,0.9056894779205322,https://youtube.com/watch?v=smksK-0z1B4,1.0,0,"A game video, only English is spoken"
AIryH-bwJyQ,0.8963695168495178,https://youtube.com/watch?v=AIryH-bwJyQ,1.0,,Not available anymore
DtiYA-ccPpo,0.894281268119812,https://youtube.com/watch?v=DtiYA-ccPpo,0.0,0,
cHEvW-5vZPw,0.9034823775291444,https://youtube.com/watch?v=cHEvW-5vZPw,0.0,0,
HTBjW-3SXs4,0.8913781642913818,https://youtube.com/watch?v=HTBjW-3SXs4,0.0,0,
cOWQU-2p1Pg,0.905747652053833,https://youtube.com/watch?v=cOWQU-2p1Pg,1.0,0,No (human) language spoken in the video
qPxGy-glpQ0,0.900731921195984,https://youtube.com/watch?v=qPxGy-glpQ0,1.0,0,
jKJgG-p5uq8,0.8044256567955017,https://youtube.com/watch?v=jKJgG-p5uq8,0.0,Not available anymore,
mbnhC-zfiWw,0.7950901389122009,https://youtube.com/watch?v=mbnhC-zfiWw,0.0,0,
ypCBT-RjvXc,0.7907678484916687,https://youtube.com/watch?v=ypCBT-RjvXc,0.0,0,
Tdviq-Q7wAY,0.8089848756790161,https://youtube.com/watch?v=Tdviq-Q7wAY,0.0,0,
fKcko-5zlFU,0.7950901389122009,https://youtube.com/watch?v=fKcko-5zlFU,0.0,0,
vNiHo-ghxvE,0.7996588945388794,https://youtube.com/watch?v=vNiHo-ghxvE,1.0,1,
iVkjf-L2Drs,0.7950901389122009,https://youtube.com/watch?v=iVkjf-L2Drs,0.0,0,
Ekoxo-6geJg,0.7950901389122009,https://youtube.com/watch?v=Ekoxo-6geJg,0.0,Not available anymore,
NNepM-se9A4,0.7920311093330383,https://youtube.com/watch?v=NNepM-se9A4,0.0,0,
mSSKi-evw2Q,0.8095833659172058,https://youtube.com/watch?v=mSSKi-evw2Q,0.0,0,
eyAjX-OnUVE,0.6960458159446716,https://youtube.com/watch?v=eyAjX-OnUVE,0.0,0,
MpQfL-4CXT0,0.7061379551887512,https://youtube.com/watch?v=MpQfL-4CXT0,0.0,0,
RQdTw-8kYuI,0.6901095509529114,https://youtube.com/watch?v=RQdTw-8kYuI,1.0,Not available anymore,
ScHNk-TL2Js,0.6932734251022339,https://youtube.com/watch?v=ScHNk-TL2Js,0.0,0,
DhZjU-xaaMU,0.7090636491775513,https://youtube.com/watch?v=DhZjU-xaaMU,0.0,Not available anymore,
KrCSj-0mjPY,0.702191948890686,https://youtube.com/watch?v=KrCSj-0mjPY,0.0,0,
zQFfs-8QZB8,0.7009771466255188,https://youtube.com/watch?v=zQFfs-8QZB8,0.0,0,
rkEaK-yBYZg,0.6953388452529907,https://youtube.com/watch?v=rkEaK-yBYZg,0.0,0,
meUaF-xXUdg,0.6987602114677429,https://youtube.com/watch?v=meUaF-xXUdg,0.0,0,
AIbuX-CUM58,0.7067508697509766,https://youtube.com/watch?v=AIbuX-CUM58,1.0,0,
xTIeF-sP7b4,0.5940917134284973,https://youtube.com/watch?v=xTIeF-sP7b4,0.0,0,
nrKMu-h9OFg,0.6045133471488953,https://youtube.com/watch?v=nrKMu-h9OFg,0.0,0,
EynzX-j5cio,0.5904003381729126,https://youtube.com/watch?v=EynzX-j5cio,0.0,0,
pshFP-HYSnM,0.5905910134315491,https://youtube.com/watch?v=pshFP-HYSnM,0.0,0,
HdaHP-lAP48,0.6058621406555176,https://youtube.com/watch?v=HdaHP-lAP48,0.0,0,
CVymp-j1dBQ,0.599151611328125,https://youtube.com/watch?v=CVymp-j1dBQ,0.0,Not available anymore,
lvluP-A_50M,0.6063395142555237,https://youtube.com/watch?v=lvluP-A_50M,0.0,0,
TKidH-lI1Ek,0.5909773111343384,https://youtube.com/watch?v=TKidH-lI1Ek,0.0,0,
ITOAr-YN87Y,0.6008569598197937,https://youtube.com/watch?v=ITOAr-YN87Y,0.0,0,
mAtHd-DaF8c,0.6015848517417908,https://youtube.com/watch?v=mAtHd-DaF8c,0.0,0,
joDhZ-4PEEA,0.4983288645744324,https://youtube.com/watch?v=joDhZ-4PEEA,0.0,0,
jnhfz-YkigE,0.5015707612037659,https://youtube.com/watch?v=jnhfz-YkigE,0.0,0,
JXGDZ-PQ2TI,0.4953038096427917,https://youtube.com/watch?v=JXGDZ-PQ2TI,1.0,0,(It is actually Slovak)
GOtjG-iYoTc,0.4900963902473449,https://youtube.com/watch?v=GOtjG-iYoTc,0.0,0,
mqSHs-rVlpE,0.5060971975326538,https://youtube.com/watch?v=mqSHs-rVlpE,1.0,1,
DciGF-hAb4w,0.502800703048706,https://youtube.com/watch?v=DciGF-hAb4w,0.0,0,
ucdOZ-pBsWE,0.4984023571014404,https://youtube.com/watch?v=ucdOZ-pBsWE,0.0,0,
mCGHv-737cs,0.5053572654724121,https://youtube.com/watch?v=mCGHv-737cs,0.0,0,
PVbyQ-ni6lE,0.4906619787216186,https://youtube.com/watch?v=PVbyQ-ni6lE,0.0,0,
jizvX-YZOag,0.4985166192054748,https://youtube.com/watch?v=jizvX-YZOag,0.0,0,
NEusy-X-vRA,0.3936202526092529,https://youtube.com/watch?v=NEusy-X-vRA,0.0,0,
RDVmt-BUERI,0.3946730196475982,https://youtube.com/watch?v=RDVmt-BUERI,1.0,1,
lTdWh-BsOW8,0.3970578014850616,https://youtube.com/watch?v=lTdWh-BsOW8,0.0,0,
NVSja-n3DCg,0.3954637348651886,https://youtube.com/watch?v=NVSja-n3DCg,0.5,1,
AinyX-kuib8,0.3996974229812622,https://youtube.com/watch?v=AinyX-kuib8,0.0,0,
Xedkn-XqUJE,0.4051775634288788,https://youtube.com/watch?v=Xedkn-XqUJE,0.0,0,
EMXex-PLOt0,0.4026362299919128,https://youtube.com/watch?v=EMXex-PLOt0,0.0,0,
PkihB-MW9OI,0.4004450440406799,https://youtube.com/watch?v=PkihB-MW9OI,0.0,0,
qxiFD-C7j20,0.4014380574226379,https://youtube.com/watch?v=qxiFD-C7j20,0.0,0,
HEUkT-4YQpc,0.404509961605072,https://youtube.com/watch?v=HEUkT-4YQpc,0.0,Not available anymore,
dzGBk-pYegM,0.3014978468418121,https://youtube.com/watch?v=dzGBk-pYegM,0.0,0,
AVMDz-EwSe0,0.305840790271759,https://youtube.com/watch?v=AVMDz-EwSe0,0.5,0,
bxAGU-Ic5NU,0.3016629219055176,https://youtube.com/watch?v=bxAGU-Ic5NU,0.0,0,
XVwGt-M4vTA,0.3019436299800873,https://youtube.com/watch?v=XVwGt-M4vTA,0.0,Not available anymore,
kVmde-gQepc,0.2922561168670654,https://youtube.com/watch?v=kVmde-gQepc,0.0,0,
FMhTr-r5zSc,0.2991437315940857,https://youtube.com/watch?v=FMhTr-r5zSc,0.0,0,
eAQdN-ifPTE,0.2911256551742553,https://youtube.com/watch?v=eAQdN-ifPTE,0.0,0,
QkOGS-9Z5VA,0.3010677993297577,https://youtube.com/watch?v=QkOGS-9Z5VA,0.0,0,
zIDGP-fhzOs,0.306525856256485,https://youtube.com/watch?v=zIDGP-fhzOs,0.0,0,
PpdDi-tqpgs,0.2926795482635498,https://youtube.com/watch?v=PpdDi-tqpgs,0.0,0,
QDnEX-omcj0,0.2092911452054977,https://youtube.com/watch?v=QDnEX-omcj0,0.0,0,
yzBcn-flnFo,0.198065236210823,https://youtube.com/watch?v=yzBcn-flnFo,0.0,0,
QeLTZ-taElE,0.2004105448722839,https://youtube.com/watch?v=QeLTZ-taElE,0.0,0,
JNDwF-QGkTg,0.2070676833391189,https://youtube.com/watch?v=JNDwF-QGkTg,0.0,0,
pdNXc-plK-g,0.1992351561784744,https://youtube.com/watch?v=pdNXc-plK-g,0.0,0,
jcdbr-wbBgk,0.197498545050621,https://youtube.com/watch?v=jcdbr-wbBgk,0.0,0,
seySF-g8pUk,0.1916470378637313,https://youtube.com/watch?v=seySF-g8pUk,0.0,Not available anymore,
Qmrmf-xpVEI,0.1957107335329055,https://youtube.com/watch?v=Qmrmf-xpVEI,0.0,0,
hEGtT-bnJq8,0.2028289288282394,https://youtube.com/watch?v=hEGtT-bnJq8,0.0,0,
XEupq-i-lfM,0.1987601369619369,https://youtube.com/watch?v=XEupq-i-lfM,0.0,0,
iuOTr-sr5jw,0.0984568446874618,https://youtube.com/watch?v=iuOTr-sr5jw,0.0,0,
hXQUH-LgjNs,0.100223071873188,https://youtube.com/watch?v=hXQUH-LgjNs,0.0,0,
xGNBk-fR0xc,0.1089999824762344,https://youtube.com/watch?v=xGNBk-fR0xc,0.0,0,
gzCsv-05L58,0.0916769430041313,https://youtube.com/watch?v=gzCsv-05L58,0.0,0,
PjOjW-FQ-_Y,0.0928576812148094,https://youtube.com/watch?v=PjOjW-FQ-_Y,0.0,Not available anymore,
kPtna-NYbTM,0.103865772485733,https://youtube.com/watch?v=kPtna-NYbTM,0.0,0,
SrShz-4tkiA,0.1019925773143768,https://youtube.com/watch?v=SrShz-4tkiA,0.0,0,
GiRxA-SrD60,0.0959969237446785,https://youtube.com/watch?v=GiRxA-SrD60,0.0,0,
HLsor-HmNcM,0.0919802784919738,https://youtube.com/watch?v=HLsor-HmNcM,0.0,0,
RznpD-tdiKw,0.0905869230628013,https://youtube.com/watch?v=RznpD-tdiKw,0.0,0,
REsLF-2JiPs,0.0401629097759723,https://youtube.com/watch?v=REsLF-2JiPs,0.0,0,
wjaME-6jm_I,0.055380143225193,https://youtube.com/watch?v=wjaME-6jm_I,0.0,0,
fmPxp-dYr0g,0.0495048500597476,https://youtube.com/watch?v=fmPxp-dYr0g,0.0,0,
Vgfkx-MEaJI,0.0594075210392475,https://youtube.com/watch?v=Vgfkx-MEaJI,0.0,0,
gXBmq-HqQhQ,0.0416212603449821,https://youtube.com/watch?v=gXBmq-HqQhQ,0.0,0,
jbzXs-8wIZ8,0.0599673204123973,https://youtube.com/watch?v=jbzXs-8wIZ8,0.0,0,
lVxhJ-FthIs,0.0494242087006568,https://youtube.com/watch?v=lVxhJ-FthIs,0.0,0,
jjxJs-RYcT4,0.0459150895476341,https://youtube.com/watch?v=jjxJs-RYcT4,0.0,0,
xqklC-A_8AA,0.0404487773776054,https://youtube.com/watch?v=xqklC-A_8AA,0.0,0,
MGMSf-3u0vQ,0.0500684343278408,https://youtube.com/watch?v=MGMSf-3u0vQ,0.0,Not available anymore,
GrmJK-Or_JU,0.0012032228987663,https://youtube.com/watch?v=GrmJK-Or_JU,0.0,0,
BiGTd-URZs8,1.0017872227763291e-05,https://youtube.com/watch?v=BiGTd-URZs8,0.0,0,
bSCvo-zAXDI,0.0013891099952161,https://youtube.com/watch?v=bSCvo-zAXDI,0.0,0,
nOwrD-Ff59E,1.0000156180467457e-05,https://youtube.com/watch?v=nOwrD-Ff59E,0.0,0,
nXjTf-y_mXY,0.0003891449305228,https://youtube.com/watch?v=nXjTf-y_mXY,0.0,0,
ZbAdk-m98b4,0.0014226458733901,https://youtube.com/watch?v=ZbAdk-m98b4,0.0,0,
oZOgI-6kuks,1.2249923202034552e-05,https://youtube.com/watch?v=oZOgI-6kuks,0.0,Not available anymore,
TGjKM-SiFzI,0.003616478992626,https://youtube.com/watch?v=TGjKM-SiFzI,0.0,0,
pYusG-MoTKs,1.2585133845277596e-05,https://youtube.com/watch?v=pYusG-MoTKs,0.0,0,
hNDIY-rXijg,1.0737967386376113e-05,https://youtube.com/watch?v=hNDIY-rXijg,0.0,Not available anymore,
