id,__label__ita_Latn,link,text_lang,video_lang
zqzHx-Cr-vo,0.6965577602386475,https://youtube.com/watch?v=zqzHx-Cr-vo,1,1.0
uzlnh-HxMNg,0.6078113317489624,https://youtube.com/watch?v=uzlnh-HxMNg,0,0.0
MZjmi-LESzc,0.5964123606681824,https://youtube.com/watch?v=MZjmi-LESzc,0,
piARv-tE8R0,0.5905627012252808,https://youtube.com/watch?v=piARv-tE8R0,1,1.0
VNIzi-m15iE,0.591888427734375,https://youtube.com/watch?v=VNIzi-m15iE,1,0.0
WGYKW-CYLrY,0.6054961085319519,https://youtube.com/watch?v=WGYKW-CYLrY,0,0.0
eQwSZ-VUe-Y,0.5994108319282532,https://youtube.com/watch?v=eQwSZ-VUe-Y,1,1.0
nnAqC-sSqdc,0.6079208850860596,https://youtube.com/watch?v=nnAqC-sSqdc,0,0.0
xOFWR-22Ez8,0.6016628742218018,https://youtube.com/watch?v=xOFWR-22Ez8,0,0.0
CMfFk-1NtjY,0.5999879837036133,https://youtube.com/watch?v=CMfFk-1NtjY,1,0.0
gihtU-Zz2dg,0.6042590737342834,https://youtube.com/watch?v=gihtU-Zz2dg,1,1.0
wDcUd-pYAeQ,0.5034189224243164,https://youtube.com/watch?v=wDcUd-pYAeQ,0,0.0
soTox-hs8r0,0.5024628639221191,https://youtube.com/watch?v=soTox-hs8r0,0,0.0
pEQTA-geZC4,0.4990659058094024,https://youtube.com/watch?v=pEQTA-geZC4,0,0.0
YlNJR-6fMnw,0.5000096559524536,https://youtube.com/watch?v=YlNJR-6fMnw,0,0.0
uyjye-Z_gRk,0.4941236078739166,https://youtube.com/watch?v=uyjye-Z_gRk,1,1.0
meLAI-xP-KY,0.5042819976806641,https://youtube.com/watch?v=meLAI-xP-KY,1,1.0
WebkY-SVqKU,0.4989823997020721,https://youtube.com/watch?v=WebkY-SVqKU,1,
cJdmk-9sbu8,0.5036978721618652,https://youtube.com/watch?v=cJdmk-9sbu8,0,0.0
hBkao-b4v50,0.502928614616394,https://youtube.com/watch?v=hBkao-b4v50,0,0.0
sbtzB-PqnyQ,0.4940896332263946,https://youtube.com/watch?v=sbtzB-PqnyQ,1,0.0
oKNIG-GZVUI,0.3967384696006775,https://youtube.com/watch?v=oKNIG-GZVUI,0,0.0
ODPxu-ZxRYA,0.4025748074054718,https://youtube.com/watch?v=ODPxu-ZxRYA,1,0.0
nmwzq-OuKX8,0.4040353298187256,https://youtube.com/watch?v=nmwzq-OuKX8,0,0.0
ybFbD-trryo,0.4006934463977813,https://youtube.com/watch?v=ybFbD-trryo,0,
Oirlf-abkec,0.4061834216117859,https://youtube.com/watch?v=Oirlf-abkec,0,0.0
iFpun-mD6Ek,0.3909792304039001,https://youtube.com/watch?v=iFpun-mD6Ek,1,0.0
nyYso-8Qc24,0.4017131626605987,https://youtube.com/watch?v=nyYso-8Qc24,1,1.0
iCGSF-hYZUQ,0.39441579580307,https://youtube.com/watch?v=iCGSF-hYZUQ,0,
QqlZT-_A_p8,0.3949363827705383,https://youtube.com/watch?v=QqlZT-_A_p8,0,0.0
htjQD-vbJAo,0.3931306600570678,https://youtube.com/watch?v=htjQD-vbJAo,0,0.0
jcyKO-MUB_4,0.30506032705307,https://youtube.com/watch?v=jcyKO-MUB_4,0,0.0
kqndS-4G7fI,0.3068391978740692,https://youtube.com/watch?v=kqndS-4G7fI,0,
FYyym-aGniA,0.2966531813144684,https://youtube.com/watch?v=FYyym-aGniA,1,1.0
qXjbJ-d4AfA,0.2910437881946563,https://youtube.com/watch?v=qXjbJ-d4AfA,0,0.0
AbYac-KY87I,0.3003072738647461,https://youtube.com/watch?v=AbYac-KY87I,0,0.0
syJsu-ChppQ,0.3013297319412231,https://youtube.com/watch?v=syJsu-ChppQ,0,0.0
fUbJv-N4rc8,0.3050144612789154,https://youtube.com/watch?v=fUbJv-N4rc8,0,0.0
TfHhg-f-Gos,0.2905749380588531,https://youtube.com/watch?v=TfHhg-f-Gos,0,0.0
nFFMA-h9pAo,0.3015396296977997,https://youtube.com/watch?v=nFFMA-h9pAo,0,0.0
loATv-0Hr3s,0.3035668432712555,https://youtube.com/watch?v=loATv-0Hr3s,0,0.0
tQIWS-NWRH8,0.1931375712156295,https://youtube.com/watch?v=tQIWS-NWRH8,0,0.0
culGT-TZGbY,0.1982333213090896,https://youtube.com/watch?v=culGT-TZGbY,0,0.0
muQwn-3eNds,0.2042196691036224,https://youtube.com/watch?v=muQwn-3eNds,0,0.0
mLtHM-2eF1s,0.2064503133296966,https://youtube.com/watch?v=mLtHM-2eF1s,0,0.0
jWqmE-HN6lI,0.2071147859096527,https://youtube.com/watch?v=jWqmE-HN6lI,0,0.0
mIrol-SmODk,0.203810304403305,https://youtube.com/watch?v=mIrol-SmODk,0,0.0
HXWye-xdvvE,0.2049601972103119,https://youtube.com/watch?v=HXWye-xdvvE,0,0.0
SXRWv-jKAEE,0.19418665766716,https://youtube.com/watch?v=SXRWv-jKAEE,0,0.0
WvhZN-Gj1Vg,0.2074171006679535,https://youtube.com/watch?v=WvhZN-Gj1Vg,1,1.0
EKZkS--2M64,0.1924532949924469,https://youtube.com/watch?v=EKZkS--2M64,0,0.0
CZuvj-xQmWg,0.1020468175411224,https://youtube.com/watch?v=CZuvj-xQmWg,0,
KAlYu-F78q4,0.0946278795599937,https://youtube.com/watch?v=KAlYu-F78q4,0,0.0
vNrGX-7ihgo,0.0964794158935546,https://youtube.com/watch?v=vNrGX-7ihgo,0,0.0
gXWUI-Lkl48,0.097257599234581,https://youtube.com/watch?v=gXWUI-Lkl48,0,0.0
KIXDy-CvtDM,0.1029706895351409,https://youtube.com/watch?v=KIXDy-CvtDM,0,0.0
ciZBr-1nqNE,0.0934666544198989,https://youtube.com/watch?v=ciZBr-1nqNE,0,
rYbuz-GuSRc,0.1023095771670341,https://youtube.com/watch?v=rYbuz-GuSRc,0,0.0
Yxdgp-VoBrk,0.0948528572916984,https://youtube.com/watch?v=Yxdgp-VoBrk,0,0.0
sQmcK-EDlpM,0.0928424745798111,https://youtube.com/watch?v=sQmcK-EDlpM,0,0.0
LkkOH-SZvjA,0.1005071103572845,https://youtube.com/watch?v=LkkOH-SZvjA,0,0.0
JuixT-dRwr0,0.056608285754919,https://youtube.com/watch?v=JuixT-dRwr0,0,0.0
TENVV-oziH4,0.0432078354060649,https://youtube.com/watch?v=TENVV-oziH4,0,
ilIFN-04A9M,0.0517569705843925,https://youtube.com/watch?v=ilIFN-04A9M,0,0.0
aZuvx-ZncXQ,0.0468964837491512,https://youtube.com/watch?v=aZuvx-ZncXQ,0,0.0
clLRO-CN3Wc,0.0409624949097633,https://youtube.com/watch?v=clLRO-CN3Wc,1,0.0
jWmcC-qEee4,0.0524155050516128,https://youtube.com/watch?v=jWmcC-qEee4,0,0.0
AYpKm-T9L1o,0.0405498929321765,https://youtube.com/watch?v=AYpKm-T9L1o,0,0.0
ynWoG-2Hxck,0.0559833906590938,https://youtube.com/watch?v=ynWoG-2Hxck,0,0.0
ffsyB-Okgok,0.0560977756977081,https://youtube.com/watch?v=ffsyB-Okgok,0,0.0
pbOZr-mKR5o,0.0416594743728637,https://youtube.com/watch?v=pbOZr-mKR5o,0,0.0
nRuFW-caTH4,6.898798164911568e-05,https://youtube.com/watch?v=nRuFW-caTH4,0,0.0
OdAad-jHGqw,0.0002667859371285,https://youtube.com/watch?v=OdAad-jHGqw,0,0.0
pnnmz-akHlo,3.350490442244336e-05,https://youtube.com/watch?v=pnnmz-akHlo,0,0.0
UMpnu-8Mp9Q,1.646671080379747e-05,https://youtube.com/watch?v=UMpnu-8Mp9Q,0,0.0
TqqWk-oMakk,1.3237773600849325e-05,https://youtube.com/watch?v=TqqWk-oMakk,0,0.0
tgaDF-7ZIvY,0.0047391490079462,https://youtube.com/watch?v=tgaDF-7ZIvY,0,0.0
RPXdV-8dpPU,1.0644765097822528e-05,https://youtube.com/watch?v=RPXdV-8dpPU,0,0.0
nctYF--_2Q4,1.0064411071653012e-05,https://youtube.com/watch?v=nctYF--_2Q4,0,0.0
heojk-uFTD8,0.0047477325424551,https://youtube.com/watch?v=heojk-uFTD8,0,0.0
fHMtc-VWB_k,0.0002730373234953,https://youtube.com/watch?v=fHMtc-VWB_k,0,0.0
