id,__label__bul_Cyrl,link,text_lang,video_lang
suous-9cOyw,0.5016294121742249,https://youtube.com/watch?v=suous-9cOyw,0.0,0
Rqasi-g45zg,0.5033219456672668,https://youtube.com/watch?v=Rqasi-g45zg,0.5,0
KXEpO-6lJHw,0.4905739724636078,https://youtube.com/watch?v=KXEpO-6lJHw,0.0,0
KBSwP-Bklgc,0.4915037155151367,https://youtube.com/watch?v=KBSwP-Bklgc,1.0,0
vvJbq-2I6U4,0.5084686279296875,https://youtube.com/watch?v=vvJbq-2I6U4,0.0,0
XgsYw-hhT6U,0.4944038093090057,https://youtube.com/watch?v=XgsYw-hhT6U,0.0,0
IpJEr-akQRQ,0.5095076560974121,https://youtube.com/watch?v=IpJEr-akQRQ,0.5,0
LYOJe-8YGhU,0.4919510185718536,https://youtube.com/watch?v=LYOJe-8YGhU,0.0,0
BrTJD-AhdXQ,0.5079120993614197,https://youtube.com/watch?v=BrTJD-AhdXQ,0.5,0
NFDzH-P857I,0.4010721743106842,https://youtube.com/watch?v=NFDzH-P857I,1.0,0
RhmjH-TbkPo,0.3962998688220978,https://youtube.com/watch?v=RhmjH-TbkPo,0.0,0
MzPvz-mS6yY,0.4034816026687622,https://youtube.com/watch?v=MzPvz-mS6yY,0.0,0
hPZwl-v4YcU,0.391364574432373,https://youtube.com/watch?v=hPZwl-v4YcU,0.0,0
DCrAa-lNghI,0.3957351744174957,https://youtube.com/watch?v=DCrAa-lNghI,0.0,0
whGVS-eF0_E,0.391690045595169,https://youtube.com/watch?v=whGVS-eF0_E,1.0,0
smewt-yQ-bU,0.4020188748836517,https://youtube.com/watch?v=smewt-yQ-bU,0.0,0
cgLfG-FvEZ0,0.4047708213329315,https://youtube.com/watch?v=cgLfG-FvEZ0,1.0,0
mRycM-4Hy7k,0.4069141745567322,https://youtube.com/watch?v=mRycM-4Hy7k,0.0,0
pvces-i56Tc,0.3967512249946594,https://youtube.com/watch?v=pvces-i56Tc,1.0,
aSKUi-_GU6k,0.3088371455669403,https://youtube.com/watch?v=aSKUi-_GU6k,0.0,
mAqJi-eTjoc,0.297380268573761,https://youtube.com/watch?v=mAqJi-eTjoc,0.5,0
iPHMR-uxfMs,0.2943109571933746,https://youtube.com/watch?v=iPHMR-uxfMs,0.0,
fJrzC-OTFuU,0.2983019649982452,https://youtube.com/watch?v=fJrzC-OTFuU,0.0,0
QrgMT-zqCX4,0.2929355204105377,https://youtube.com/watch?v=QrgMT-zqCX4,0.0,0
XBAQZ-rkUV0,0.294101357460022,https://youtube.com/watch?v=XBAQZ-rkUV0,0.0,
SAcSM-7cOGc,0.3085861206054687,https://youtube.com/watch?v=SAcSM-7cOGc,1.0,0
aBqKc-5evJ8,0.3023427128791809,https://youtube.com/watch?v=aBqKc-5evJ8,0.0,
twNYu-7PEAo,0.3073381781578064,https://youtube.com/watch?v=twNYu-7PEAo,0.0,
pNKJv-lHejw,0.3055105805397033,https://youtube.com/watch?v=pNKJv-lHejw,0.0,0
vyiEB-RTnEM,0.1930252611637115,https://youtube.com/watch?v=vyiEB-RTnEM,0.0,0
qdjtD-OSEy4,0.1945101916790008,https://youtube.com/watch?v=qdjtD-OSEy4,1.0,0
ioIXj-5KnSk,0.1987185329198837,https://youtube.com/watch?v=ioIXj-5KnSk,0.0,0
MTrPb-6NZwI,0.1915707886219024,https://youtube.com/watch?v=MTrPb-6NZwI,0.0,0
BZeIi-vdVR0,0.1970021575689315,https://youtube.com/watch?v=BZeIi-vdVR0,0.0,
TbDmv-511TY,0.2022311240434646,https://youtube.com/watch?v=TbDmv-511TY,1.0,0
kldxU-vcf3c,0.2084040492773056,https://youtube.com/watch?v=kldxU-vcf3c,0.0,
iaEzo-t2daM,0.198183998465538,https://youtube.com/watch?v=iaEzo-t2daM,0.0,0
akUlx-8WF0Y,0.2054947018623352,https://youtube.com/watch?v=akUlx-8WF0Y,0.5,0
jfeCy-j23bk,0.1987929791212082,https://youtube.com/watch?v=jfeCy-j23bk,0.0,0
vvekl-igyUk,0.101709671318531,https://youtube.com/watch?v=vvekl-igyUk,0.0,
YsrPH-6fsTw,0.0979244485497474,https://youtube.com/watch?v=YsrPH-6fsTw,1.0,0
iLMlW-0CIUg,0.0917061865329742,https://youtube.com/watch?v=iLMlW-0CIUg,0.0,
QMobN-tEpes,0.1019143015146255,https://youtube.com/watch?v=QMobN-tEpes,0.0,0
JnOBM--m0UU,0.0980628058314323,https://youtube.com/watch?v=JnOBM--m0UU,1.0,0
imqQU-V1Pso,0.0934048369526863,https://youtube.com/watch?v=imqQU-V1Pso,1.0,0
zpLWl-2qfBI,0.0979304462671279,https://youtube.com/watch?v=zpLWl-2qfBI,0.0,0
xGgom-JQjHo,0.0901873037219047,https://youtube.com/watch?v=xGgom-JQjHo,1.0,0
UgyLL-3zH8Q,0.0982723757624626,https://youtube.com/watch?v=UgyLL-3zH8Q,0.5,0
TAVGY-ydoBw,0.1090430319309234,https://youtube.com/watch?v=TAVGY-ydoBw,0.0,0
mPGmt-kscoc,0.0576497726142406,https://youtube.com/watch?v=mPGmt-kscoc,0.0,0
IWcLm-hBUlY,0.052193384617567,https://youtube.com/watch?v=IWcLm-hBUlY,0.0,0
EnRvV-imZyI,0.0405851565301418,https://youtube.com/watch?v=EnRvV-imZyI,0.0,
zKQuR-XGGWM,0.0510778613388538,https://youtube.com/watch?v=zKQuR-XGGWM,0.5,0
zjqxh-aEgWk,0.0521109700202941,https://youtube.com/watch?v=zjqxh-aEgWk,1.0,0
GdObJ-s6hXg,0.0482879430055618,https://youtube.com/watch?v=GdObJ-s6hXg,0.0,0
QmTus-E0xnc,0.0437159277498722,https://youtube.com/watch?v=QmTus-E0xnc,0.0,0
ehAOj-hdmAg,0.047043465077877,https://youtube.com/watch?v=ehAOj-hdmAg,0.0,0
ajhpe-t940U,0.045940987765789,https://youtube.com/watch?v=ajhpe-t940U,0.0,0
lqEpo-81J14,0.0406256839632988,https://youtube.com/watch?v=lqEpo-81J14,0.0,0
AOCdO-LOnPM,0.0002494442451279,https://youtube.com/watch?v=AOCdO-LOnPM,0.0,0
SGaza-BoIFk,1.0055958227894736e-05,https://youtube.com/watch?v=SGaza-BoIFk,0.0,0
DjjZV-6XNcw,1.000181509880349e-05,https://youtube.com/watch?v=DjjZV-6XNcw,0.0,0
Qjklt-16f14,1.0017021850217134e-05,https://youtube.com/watch?v=Qjklt-16f14,0.0,0
TsOcI-8XuuU,1.0000031579693314e-05,https://youtube.com/watch?v=TsOcI-8XuuU,0.0,0
ybYsC-iODig,1.0000012480304576e-05,https://youtube.com/watch?v=ybYsC-iODig,0.0,0
rAaPp-q9lzo,1.000093743641628e-05,https://youtube.com/watch?v=rAaPp-q9lzo,0.0,0
gDkIx-E40O4,1.0165106687054504e-05,https://youtube.com/watch?v=gDkIx-E40O4,0.0,0
bjOAf-qs48o,1.3248458344605751e-05,https://youtube.com/watch?v=bjOAf-qs48o,0.0,0
pZKly-4o7Ec,1.0000441761803812e-05,https://youtube.com/watch?v=pZKly-4o7Ec,0.0,
