id,__label__spa_Latn,link,text_lang,video_lang
PvXEL-lSWRU,0.8936269879341125,https://youtube.com/watch?v=PvXEL-lSWRU,1.0,1.0
PZKlY-sk-X0,0.9002571105957031,https://youtube.com/watch?v=PZKlY-sk-X0,0.5,1.0
CHFSU--Ei0M,0.8944063186645508,https://youtube.com/watch?v=CHFSU--Ei0M,1.0,1.0
eChCl-tmWVk,0.9034691452980042,https://youtube.com/watch?v=eChCl-tmWVk,0.0,0.0
aHwYQ-yJNuE,0.7985299229621887,https://youtube.com/watch?v=aHwYQ-yJNuE,1.0,1.0
LcCwf-0eNs0,0.7907896041870117,https://youtube.com/watch?v=LcCwf-0eNs0,1.0,1.0
WOeQP-gVfPA,0.8059765100479126,https://youtube.com/watch?v=WOeQP-gVfPA,1.0,1.0
ZFvmb-Ry5_M,0.8036296963691711,https://youtube.com/watch?v=ZFvmb-Ry5_M,0.5,0.0
bCLDl-jyJeg,0.7944616079330444,https://youtube.com/watch?v=bCLDl-jyJeg,1.0,0.5
QqQhr--Al20,0.797921359539032,https://youtube.com/watch?v=QqQhr--Al20,1.0,1.0
PsmeG-pK9SY,0.7952557802200317,https://youtube.com/watch?v=PsmeG-pK9SY,1.0,1.0
ndDIN-RfUZA,0.8022217154502869,https://youtube.com/watch?v=ndDIN-RfUZA,1.0,1.0
pTYJF-n8aiA,0.7910416126251221,https://youtube.com/watch?v=pTYJF-n8aiA,0.5,0.0
lZxMR-cIXq4,0.7995140552520752,https://youtube.com/watch?v=lZxMR-cIXq4,0.5,0.0
KKvrq-XIRX4,0.6924262642860413,https://youtube.com/watch?v=KKvrq-XIRX4,1.0,0.5
CTTwr-rNfo4,0.7079501748085022,https://youtube.com/watch?v=CTTwr-rNfo4,1.0,1.0
OcunJ-gY1hE,0.6940181851387024,https://youtube.com/watch?v=OcunJ-gY1hE,0.5,1.0
ivfHy-YzrIk,0.6950442790985107,https://youtube.com/watch?v=ivfHy-YzrIk,1.0,1.0
cQBnD-zXykk,0.7033610939979553,https://youtube.com/watch?v=cQBnD-zXykk,1.0,1.0
owWyV-6_bcY,0.704908013343811,https://youtube.com/watch?v=owWyV-6_bcY,1.0,1.0
JAPQW-Qzrcg,0.6910762190818787,https://youtube.com/watch?v=JAPQW-Qzrcg,1.0,
DqtNu-TVTGo,0.6920264959335327,https://youtube.com/watch?v=DqtNu-TVTGo,1.0,0.0
ClRKm-mFm4k,0.6997506022453308,https://youtube.com/watch?v=ClRKm-mFm4k,1.0,1.0
hvBFB-dcDhQ,0.7026826739311218,https://youtube.com/watch?v=hvBFB-dcDhQ,1.0,1.0
gCwXk-Nqwkc,0.604251503944397,https://youtube.com/watch?v=gCwXk-Nqwkc,0.5,1.0
WIVGz-kWLPo,0.5944045186042786,https://youtube.com/watch?v=WIVGz-kWLPo,0.5,1.0
QRizX-RwsD0,0.6044929623603821,https://youtube.com/watch?v=QRizX-RwsD0,1.0,1.0
WBEfj-GXme0,0.5919617414474487,https://youtube.com/watch?v=WBEfj-GXme0,1.0,0.0
TYwTZ-USDpY,0.592810869216919,https://youtube.com/watch?v=TYwTZ-USDpY,0.5,0.0
ctHwX-EuZCg,0.6086812615394592,https://youtube.com/watch?v=ctHwX-EuZCg,1.0,0.0
FYtNC-mKQCs,0.6034864783287048,https://youtube.com/watch?v=FYtNC-mKQCs,1.0,1.0
xtHAM-Q5seI,0.5925687551498413,https://youtube.com/watch?v=xtHAM-Q5seI,1.0,0.0
KVGsd-B89no,0.5901344418525696,https://youtube.com/watch?v=KVGsd-B89no,1.0,1.0
jQbkY-Qolhw,0.6067829132080078,https://youtube.com/watch?v=jQbkY-Qolhw,1.0,1.0
WeGJh-yCuXE,0.5087859630584717,https://youtube.com/watch?v=WeGJh-yCuXE,1.0,0.0
YJIZP-2MkcY,0.4927795827388763,https://youtube.com/watch?v=YJIZP-2MkcY,0.5,1.0
hWart-N9E3c,0.4929055571556091,https://youtube.com/watch?v=hWart-N9E3c,1.0,0.0
gHEHE-l7QFY,0.5024030208587646,https://youtube.com/watch?v=gHEHE-l7QFY,1.0,1.0
HtPou-h-84k,0.4969748556613922,https://youtube.com/watch?v=HtPou-h-84k,1.0,1.0
JPZfs-pEwag,0.4956848919391632,https://youtube.com/watch?v=JPZfs-pEwag,1.0,
fHloQ-_kSwg,0.5082852244377136,https://youtube.com/watch?v=fHloQ-_kSwg,0.5,1.0
ejimR-HfekQ,0.4923273026943207,https://youtube.com/watch?v=ejimR-HfekQ,0.5,1.0
RMAWI-qmJ-w,0.5042630434036255,https://youtube.com/watch?v=RMAWI-qmJ-w,1.0,0.0
FKGjG-2UXDU,0.5092712640762329,https://youtube.com/watch?v=FKGjG-2UXDU,1.0,1.0
Hnclo-KVgJQ,0.4076691567897796,https://youtube.com/watch?v=Hnclo-KVgJQ,0.5,1.0
TppWz-_m-io,0.4038662612438202,https://youtube.com/watch?v=TppWz-_m-io,0.5,
AizCM-c6_uQ,0.3971847891807556,https://youtube.com/watch?v=AizCM-c6_uQ,1.0,1.0
lNHyO-NOUDc,0.4095401763916015,https://youtube.com/watch?v=lNHyO-NOUDc,1.0,1.0
oHjho-iW5XE,0.3955395221710205,https://youtube.com/watch?v=oHjho-iW5XE,0.0,0.0
FUiQx-zt1uU,0.4078547656536102,https://youtube.com/watch?v=FUiQx-zt1uU,1.0,
XKWkF-Kq0Bc,0.4073357880115509,https://youtube.com/watch?v=XKWkF-Kq0Bc,1.0,0.0
vaUPW-aRb0Q,0.4031631350517273,https://youtube.com/watch?v=vaUPW-aRb0Q,0.5,
YSjYR-XBYR8,0.3965238332748413,https://youtube.com/watch?v=YSjYR-XBYR8,1.0,1.0
uDdaP-A2pRc,0.3955993056297302,https://youtube.com/watch?v=uDdaP-A2pRc,0.0,0.0
EPbuu-PdW0w,0.2969250679016113,https://youtube.com/watch?v=EPbuu-PdW0w,1.0,0.5
qkQtr-bim9o,0.290109634399414,https://youtube.com/watch?v=qkQtr-bim9o,0.5,1.0
SaYPP-NBz20,0.3040654063224792,https://youtube.com/watch?v=SaYPP-NBz20,1.0,
zWwzS-Xb8EA,0.2912012338638305,https://youtube.com/watch?v=zWwzS-Xb8EA,1.0,1.0
gvgbp-varwA,0.3018537163734436,https://youtube.com/watch?v=gvgbp-varwA,1.0,0.0
GWwPe-zOKIU,0.297360211610794,https://youtube.com/watch?v=GWwPe-zOKIU,0.5,1.0
KtMrF-kE-P8,0.3093930184841156,https://youtube.com/watch?v=KtMrF-kE-P8,1.0,0.0
TZuzL-zS5_o,0.3093930184841156,https://youtube.com/watch?v=TZuzL-zS5_o,1.0,0.5
pjUlH-heXmM,0.3056580722332001,https://youtube.com/watch?v=pjUlH-heXmM,0.5,1.0
ZUIOA-ox8nw,0.2912012338638305,https://youtube.com/watch?v=ZUIOA-ox8nw,1.0,0.0
sjolj-dsSDM,0.2021625488996505,https://youtube.com/watch?v=sjolj-dsSDM,0.0,0.0
kzfPK-2RQw8,0.2019111514091491,https://youtube.com/watch?v=kzfPK-2RQw8,1.0,1.0
MnEfp-Q2mPI,0.1911399960517883,https://youtube.com/watch?v=MnEfp-Q2mPI,1.0,1.0
fwuBE-THIhw,0.197267085313797,https://youtube.com/watch?v=fwuBE-THIhw,0.5,
vLKDY-VK0bY,0.1959282457828521,https://youtube.com/watch?v=vLKDY-VK0bY,0.5,1.0
SUrcZ-cRQ-w,0.1960286498069763,https://youtube.com/watch?v=SUrcZ-cRQ-w,1.0,1.0
vOucv-BiOuU,0.2084620893001556,https://youtube.com/watch?v=vOucv-BiOuU,1.0,1.0
VFkls-dR1iU,0.1986998468637466,https://youtube.com/watch?v=VFkls-dR1iU,0.0,0.0
podNb-zsQ1g,0.1986397951841354,https://youtube.com/watch?v=podNb-zsQ1g,0.0,0.0
UaKOY-vf4u0,0.2027433514595031,https://youtube.com/watch?v=UaKOY-vf4u0,0.0,0.0
qnXCS-9AKEc,0.0902499631047248,https://youtube.com/watch?v=qnXCS-9AKEc,0.0,0.0
UcyYU-WQNlI,0.1049798280000686,https://youtube.com/watch?v=UcyYU-WQNlI,1.0,1.0
IKGKk-yD_Ac,0.0956028401851654,https://youtube.com/watch?v=IKGKk-yD_Ac,0.0,0.0
zDUhf-r216Q,0.0929231196641922,https://youtube.com/watch?v=zDUhf-r216Q,0.5,
GGnTn-55zWY,0.0923560634255409,https://youtube.com/watch?v=GGnTn-55zWY,1.0,0.0
JqBKy-rsBKk,0.1048489287495613,https://youtube.com/watch?v=JqBKy-rsBKk,0.5,1.0
QfgAf-XXxmk,0.0930486470460891,https://youtube.com/watch?v=QfgAf-XXxmk,0.5,1.0
mpFjF-h_0LY,0.103052869439125,https://youtube.com/watch?v=mpFjF-h_0LY,0.0,0.0
BGFRE-hs_24,0.0928263366222381,https://youtube.com/watch?v=BGFRE-hs_24,0.0,
OkGzF-PqUOY,0.0918555557727813,https://youtube.com/watch?v=OkGzF-PqUOY,0.0,0.0
NzZMk-NJ-KM,0.0433768332004547,https://youtube.com/watch?v=NzZMk-NJ-KM,0.0,
vkFfr-7BN9k,0.041649404913187,https://youtube.com/watch?v=vkFfr-7BN9k,0.0,
FqVjp-SVY3w,0.0462135970592498,https://youtube.com/watch?v=FqVjp-SVY3w,0.0,0.0
hsPZh-kA49I,0.0461865961551666,https://youtube.com/watch?v=hsPZh-kA49I,0.0,0.0
BYyDL-2Ld30,0.0560341216623783,https://youtube.com/watch?v=BYyDL-2Ld30,0.0,
XtYpe--Cofg,0.0446955822408199,https://youtube.com/watch?v=XtYpe--Cofg,1.0,1.0
QpaQE-qRtCo,0.0412886217236518,https://youtube.com/watch?v=QpaQE-qRtCo,0.0,
ktuUo-PVEbM,0.0468427017331123,https://youtube.com/watch?v=ktuUo-PVEbM,0.0,0.0
tcuJs-gupiU,0.059512935578823,https://youtube.com/watch?v=tcuJs-gupiU,0.5,
ZIcAn-Rk7pk,0.0437648557126522,https://youtube.com/watch?v=ZIcAn-Rk7pk,0.0,0.0
ylyQa-SlFRE,1.000000338535756e-05,https://youtube.com/watch?v=ylyQa-SlFRE,,
JodhU-AwfNs,1.4907210243109148e-05,https://youtube.com/watch?v=JodhU-AwfNs,0.0,0.0
IzCsh-SonRU,0.0001439335319446,https://youtube.com/watch?v=IzCsh-SonRU,0.0,0.0
gUMJM-VCs9c,0.0018773536430671,https://youtube.com/watch?v=gUMJM-VCs9c,0.0,0.0
KQuMn-6vESY,0.0027994839474558,https://youtube.com/watch?v=KQuMn-6vESY,0.0,0.0
IWNcP-eWNbI,1.019420142256422e-05,https://youtube.com/watch?v=IWNcP-eWNbI,0.0,
fuhoQ-xba1A,1.0000365364248864e-05,https://youtube.com/watch?v=fuhoQ-xba1A,0.0,0.0
yVZqh-6HuT0,0.0006578182219527,https://youtube.com/watch?v=yVZqh-6HuT0,0.0,0.0
KYYhA-iJJKQ,0.0064736157655715,https://youtube.com/watch?v=KYYhA-iJJKQ,0.0,0.0
KyNfz-2XErc,1.001166401692899e-05,https://youtube.com/watch?v=KyNfz-2XErc,0.0,
