id,__label__por_Latn,link,text_lang,video_lang
LdJAQ-bAsHc,0.6034141778945923,https://youtube.com/watch?v=LdJAQ-bAsHc,1,0
rXBtv-vur1Q,0.5919579863548279,https://youtube.com/watch?v=rXBtv-vur1Q,1,1
jFSaU-i4r4E,0.5942274332046509,https://youtube.com/watch?v=jFSaU-i4r4E,"0,5",
MPEsh-Ampg0,0.5929422378540039,https://youtube.com/watch?v=MPEsh-Ampg0,1,
HCgcV-J7zFE,0.5937770009040833,https://youtube.com/watch?v=HCgcV-J7zFE,1,0
UVzmZ-Wl8eI,0.5905548930168152,https://youtube.com/watch?v=UVzmZ-Wl8eI,1,1
YUkgs-38GJs,0.6096947193145752,https://youtube.com/watch?v=YUkgs-38GJs,1,0
vOucv-BiOuU,0.5927360653877258,https://youtube.com/watch?v=vOucv-BiOuU,1,0
srKff-NlWxA,0.601015567779541,https://youtube.com/watch?v=srKff-NlWxA,1,1
KASyh-VM85Y,0.6091884970664978,https://youtube.com/watch?v=KASyh-VM85Y,1,
FRjiQ-GMiHY,0.4910542964935303,https://youtube.com/watch?v=FRjiQ-GMiHY,1,1
kpTIz-kRCUY,0.504592776298523,https://youtube.com/watch?v=kpTIz-kRCUY,"0,5",1
PKXdo-TaOCA,0.501507580280304,https://youtube.com/watch?v=PKXdo-TaOCA,1,
MrUoF-xhO7Q,0.4926103353500366,https://youtube.com/watch?v=MrUoF-xhO7Q,1,0
STYXw-cWb2E,0.4910722076892853,https://youtube.com/watch?v=STYXw-cWb2E,1,
wqiir-kRxzk,0.501507580280304,https://youtube.com/watch?v=wqiir-kRxzk,1,0
FnHcc-qbCmk,0.5033714771270752,https://youtube.com/watch?v=FnHcc-qbCmk,1,1
FIHaC-78q4I,0.4903187155723572,https://youtube.com/watch?v=FIHaC-78q4I,1,1
YscSl-hKpFY,0.5074493885040283,https://youtube.com/watch?v=YscSl-hKpFY,"0,5",0
hFpUZ-JW2zk,0.4978351294994354,https://youtube.com/watch?v=hFpUZ-JW2zk,1,1
fgAlf-nF3Qg,0.4046654105186462,https://youtube.com/watch?v=fgAlf-nF3Qg,1,0
VgTuJ-4gaFI,0.3992458283901214,https://youtube.com/watch?v=VgTuJ-4gaFI,"0,5",1
LQDlZ-0Ipl0,0.4025090932846069,https://youtube.com/watch?v=LQDlZ-0Ipl0,"0,5",0
vBISz-ng4og,0.4079535603523254,https://youtube.com/watch?v=vBISz-ng4og,"0,5",1
ZbCgB-bF_v4,0.4036436676979065,https://youtube.com/watch?v=ZbCgB-bF_v4,1,1
mAGCQ-mgIb4,0.408889502286911,https://youtube.com/watch?v=mAGCQ-mgIb4,0,
tUsbh-xE5fs,0.4062824249267578,https://youtube.com/watch?v=tUsbh-xE5fs,"0,5",0
EZbWM-yJhl0,0.4002069532871246,https://youtube.com/watch?v=EZbWM-yJhl0,1,1
KHmmq-sWg7g,0.3990066051483154,https://youtube.com/watch?v=KHmmq-sWg7g,1,0
oBBUe-OTVqU,0.3994397222995758,https://youtube.com/watch?v=oBBUe-OTVqU,"0,5",0
EFJqs-WSj5Q,0.2992620766162872,https://youtube.com/watch?v=EFJqs-WSj5Q,"0,5",0
vNVJg-hkZGE,0.2919226586818695,https://youtube.com/watch?v=vNVJg-hkZGE,0,0
SdmbB-kahog,0.291537344455719,https://youtube.com/watch?v=SdmbB-kahog,"0,5",1
sRbhp-QZoWk,0.2909151315689087,https://youtube.com/watch?v=sRbhp-QZoWk,1,1
PBEBZ-vE9SY,0.3092606961727142,https://youtube.com/watch?v=PBEBZ-vE9SY,1,
rTikb-qy_RQ,0.2951949536800384,https://youtube.com/watch?v=rTikb-qy_RQ,1,
JCZbj-FjuVw,0.3087666034698486,https://youtube.com/watch?v=JCZbj-FjuVw,1,
fqhMn-Wa5ps,0.3092606961727142,https://youtube.com/watch?v=fqhMn-Wa5ps,1,0
EkFJm-f3qbM,0.3087666034698486,https://youtube.com/watch?v=EkFJm-f3qbM,1,1
omqZW-dBMwM,0.3092606961727142,https://youtube.com/watch?v=omqZW-dBMwM,1,
nlxTn-7CEsM,0.1994006037712097,https://youtube.com/watch?v=nlxTn-7CEsM,1,0
ApYSH-5EfnQ,0.200782299041748,https://youtube.com/watch?v=ApYSH-5EfnQ,0,
FwzaQ-kKiVE,0.2095970511436462,https://youtube.com/watch?v=FwzaQ-kKiVE,"0,5",0
nrYIz-DDWtM,0.1937015056610107,https://youtube.com/watch?v=nrYIz-DDWtM,0,0
fziqn-I6y4U,0.1948682814836502,https://youtube.com/watch?v=fziqn-I6y4U,1,1
GOGxe-19RIU,0.1983120888471603,https://youtube.com/watch?v=GOGxe-19RIU,1,0
TDAjW-BYulk,0.2022121250629425,https://youtube.com/watch?v=TDAjW-BYulk,0,0
rYsPl-w4BrY,0.1989094167947769,https://youtube.com/watch?v=rYsPl-w4BrY,0,0
lQAEs-nRkis,0.2084404081106186,https://youtube.com/watch?v=lQAEs-nRkis,0,0
nQzAy-wVeHk,0.2005907893180847,https://youtube.com/watch?v=nQzAy-wVeHk,0,0
kSDzW-DSCpM,0.1002919599413871,https://youtube.com/watch?v=kSDzW-DSCpM,0,0
rqspN-kRxxI,0.0950118377804756,https://youtube.com/watch?v=rqspN-kRxxI,0,0
mescy-LjY68,0.0991107374429702,https://youtube.com/watch?v=mescy-LjY68,1,1
RLQTw-5gcj4,0.0904698148369789,https://youtube.com/watch?v=RLQTw-5gcj4,"0,5",
ICOZI-2vaCQ,0.0925690159201622,https://youtube.com/watch?v=ICOZI-2vaCQ,"0,5",0
ARKqJ-KnyR0,0.0963904336094856,https://youtube.com/watch?v=ARKqJ-KnyR0,1,0
lXZBh-R97WM,0.0924141705036163,https://youtube.com/watch?v=lXZBh-R97WM,0,
ZvgVh-wm2r0,0.1083120107650756,https://youtube.com/watch?v=ZvgVh-wm2r0,1,1
QwETH-fkvFI,0.0954656973481178,https://youtube.com/watch?v=QwETH-fkvFI,0,0
BKHrJ-qfVks,0.0993387922644615,https://youtube.com/watch?v=BKHrJ-qfVks,0,0
GmDeS-eOFlE,0.0592579133808612,https://youtube.com/watch?v=GmDeS-eOFlE,0,0
nvAhj-M0n-I,0.0527753569185733,https://youtube.com/watch?v=nvAhj-M0n-I,0,0
QYfCG-v0H8A,0.0525265447795391,https://youtube.com/watch?v=QYfCG-v0H8A,0,
eFuKI-m6ikE,0.0528730005025863,https://youtube.com/watch?v=eFuKI-m6ikE,0,0
FfOgp-qxm6A,0.0410013906657695,https://youtube.com/watch?v=FfOgp-qxm6A,1,0
uVEfN-sjzSU,0.0407804474234581,https://youtube.com/watch?v=uVEfN-sjzSU,0,0
WExTb-aX5hA,0.0408214889466762,https://youtube.com/watch?v=WExTb-aX5hA,0,0
VWstK-P1RbA,0.0545454621315002,https://youtube.com/watch?v=VWstK-P1RbA,"0,5",1
agfKf-sauwM,0.050137348473072,https://youtube.com/watch?v=agfKf-sauwM,0,0
VBruf-aNAs8,0.0431019105017185,https://youtube.com/watch?v=VBruf-aNAs8,0,0
Yifwo-ZdIg0,1.0719365491240753e-05,https://youtube.com/watch?v=Yifwo-ZdIg0,0,0
wCXvc-rN6QU,1.1079830073867925e-05,https://youtube.com/watch?v=wCXvc-rN6QU,0,0
sDRKB-jHL5A,1.0030816156358924e-05,https://youtube.com/watch?v=sDRKB-jHL5A,0,0
SAovd-9tbSI,0.0070417989045381,https://youtube.com/watch?v=SAovd-9tbSI,0,0
KYDIh-70Pto,0.0001891137071652,https://youtube.com/watch?v=KYDIh-70Pto,0,0
StHaV-8maNc,0.0040664714761078,https://youtube.com/watch?v=StHaV-8maNc,0,0
gYrHQ-1c-1M,0.0030438126996159,https://youtube.com/watch?v=gYrHQ-1c-1M,0,0
gKgCo-hO0VY,0.0004605993453878,https://youtube.com/watch?v=gKgCo-hO0VY,0,0
UIaAh-qtiUQ,3.1217827199725434e-05,https://youtube.com/watch?v=UIaAh-qtiUQ,0,0
fEXkC-cPdyM,0.0031875725835561,https://youtube.com/watch?v=fEXkC-cPdyM,0,0
